title,authors,description,average_rating,published_date,categories
The President and the Freedom Fighter,Brian Kilmeade,"NEW YORK TIMES BESTSELLER The New York Times bestselling author of George Washington's Secret Six and Thomas Jefferson and the Tripoli Pirates turns to two other heroes of the nation: Abraham Lincoln and Frederick Douglass. In The President and the Freedom Fighter, Brian Kilmeade tells the little-known story of how two American heroes moved from strong disagreement to friendship, and in the process changed the entire course of history. Abraham Lincoln was White, born impoverished on a frontier farm. Frederick Douglass was Black, a child of slavery who had risked his life escaping to freedom in the North. Neither man had a formal education, and neither had had an easy path to influence. No one would have expected them to become friends—or to transform the country. But Lincoln and Douglass believed in their nation’s greatness. They were determined to make the grand democratic experiment live up to its ideals. Lincoln’s problem: he knew it was time for slavery to go, but how fast could the country change without being torn apart? And would it be possible to get rid of slavery while keeping America’s Constitution intact? Douglass said no, that the Constitution was irredeemably corrupted by slavery—and he wanted Lincoln to move quickly. Sharing little more than the conviction that slavery was wrong, the two men’s paths eventually converged. Over the course of the Civil War, they’d endure bloodthirsty mobs, feverish conspiracies, devastating losses on the battlefield, and a growing firestorm of unrest that would culminate on the fields of Gettysburg. As he did in George Washington's Secret Six, Kilmeade has transformed this nearly forgotten slice of history into a dramatic story that will keep you turning the pages to find out how these two heroes, through their principles and patience, not only changed each other, but made America truly free for all.",Note non disponible,2021-11-02,History
The Beatles: Get Back. Ediz. illustrata,The Beatles,Description non disponible,Note non disponible,2021,Music
"SUMMARY of the BODY KEEPS the SCORE by BESSEL VAN Der KOLK M. D: Brain, Mind and Body in the Healing of Trauma",Dain BESSEL,"DISCLAIMER This summary has a plethora of information and analysis to assist you in comprehending the original book The Body Keeps The Score. Bessel Van Der Kolk is the author of this piece. It is not intended to replace the book but rather to act as a companion. ABOUT THE AUTHOR: Bessel van der Kоlk, MD, is a physiatrist, researcher, and educator who specializes in post-traumatic stress disorder. Other books by him include Pусhоlоgсаl Trauma and Traumatic Stresses: The Effects of Overwhelming Experience on Mind, Body, and Society. Van der Kоlk is a psychiatry professor at Boston University School of Medicine who founded the Trauma Center at the Justice Resource Institute Have you been wanting to read Bessel van der Kolk's ""The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma"" but don't have the time or are searching for a reading companion to help you comprehend all you're reading for simple reference? If you've answered YES, then KEEP READING... Are you interested in learning more about his novel treatments? What are the benefits of meditation? Why is yoga such a powerful tool? If you answered yes, then you're about to read a Summary and Analysis that will assist you in healing from trauma and depression, even if you haven't read the original book. This Summary and Analysis of The Body Keeps the Score is for you if you need more than a book review to determine whether or not to read The Body Keeps the Score. Scroll to the top and click Buy Now with 1-Click or Buy Now to start reading.",Note non disponible,2021-07-10,Catégorie non disponible
Renegades,"Barack Obama, Bruce Springsteen","THE NEW YORK TIMES BESTSELLER - AND THE GIFT THAT WILL BE ON EVERY BRUCE AND BARACK FAN'S WISH LIST THIS CHRISTMAS! Two long-time friends share an intimate and urgent conversation about life, music and their enduring love of America, with all its challenges and contradictions, in this stunningly-produced expansion of their groundbreaking Higher Ground podcast, featuring more than 350 photographs, exclusive bonus content, and never-before-seen archival material. Renegades: Born in the USA is a candid, revealing, and entertaining dialogue between President Barack Obama and legendary musician Bruce Springsteen that explores everything from their origin stories and career-defining moments to their country's polarized politics and the growing distance between the American Dream and the American reality. Filled with full-colour photographs and rare archival material, it is a compelling and beautifully illustrated portrait of two outsiders-one Black and one white-looking for a way to connect their unconventional searches for meaning, identity, and community with the American story itself. It includes: · Original introductions by President Obama and Bruce Springsteen · Exclusive new material from the Renegades podcast recording sessions · Obama's never-before-seen annotated speeches, including his ""Remarks at the 50th Anniversary of the Selma to Montgomery Marches · Springsteen's handwritten lyrics for songs spanning his 50-year-long career · Rare and exclusive photographs from the authors' personal archives · Historical photographs and documents that provide rich visual context for their conversation. In a recording studio stocked with dozens of guitars, and on at least one Corvette ride, Obama and Springsteen discuss marriage and fatherhood, race and masculinity, the lure of the open road and the call back to home. They also compare notes on their favourite protest songs, the most inspiring American heroes of all time, and more. Along the way, they reveal their passion for-and the occasional toll of-telling a bigger, truer story about America throughout their careers, and explore how their fractured country might begin to find its way back toward unity.",Note non disponible,2021-10-26,Social Science
The Real Anthony Fauci,Robert F. Kennedy,"Pharma-funded mainstream media has convinced millions of Americans that Dr. Anthony Fauci is a hero. He is anything but. As director of the National Institute of Allergy and Infectious Diseases (NIAID), Dr. Anthony Fauci dispenses $6.1 billion in annual taxpayer-provided funding for scientific research, allowing him to dictate the subject, content, and outcome of scientific health research across the globe. Fauci uses the financial clout at his disposal to wield extraordinary influence over hospitals, universities, journals, and thousands of influential doctors and scientists—whose careers and institutions he has the power to ruin, advance, or reward. During more than a year of painstaking and meticulous research, Robert F. Kennedy Jr. unearthed a shocking story that obliterates media spin on Dr. Fauci . . . and that will alarm every American—Democrat or Republican—who cares about democracy, our Constitution, and the future of our children’s health. The Real Anthony Fauci reveals how “America’s Doctor” launched his career during the early AIDS crisis by partnering with pharmaceutical companies to sabotage safe and effective off-patent therapeutic treatments for AIDS. Fauci orchestrated fraudulent studies, and then pressured US Food and Drug Administration (FDA) regulators into approving a deadly chemotherapy treatment he had good reason to know was worthless against AIDS. Fauci repeatedly violated federal laws to allow his Pharma partners to use impoverished and dark-skinned children as lab rats in deadly experiments with toxic AIDS and cancer chemotherapies. In early 2000, Fauci shook hands with Bill Gates in the library of Gates’ $147 million Seattle mansion, cementing a partnership that would aim to control an increasingly profitable $60 billion global vaccine enterprise with unlimited growth potential. Through funding leverage and carefully cultivated personal relationships with heads of state and leading media and social media institutions, the Pharma-Fauci-Gates alliance exercises dominion over global health policy. The Real Anthony Fauci details how Fauci, Gates, and their cohorts use their control of media outlets, scientific journals, key government and quasi-governmental agencies, global intelligence agencies, and influential scientists and physicians to flood the public with fearful propaganda about COVID-19 virulence and pathogenesis, and to muzzle debate and ruthlessly censor dissent.",5,2021-11-16,Health & Fitness
These Precious Days,Ann Patchett,"A BARACK OBAMA TOP BOOK OF 2021 'A heartfelt and witty collection of essays on everything from marriage and knitting to the inevitability of death' Guardian 'A pitch-perfect collection ... She can turn a sentence like no one else: her writing is clear, honest, witty, and just full of unsentimental humanity' Nigella Lawson 'Profound and clever and funny and wise' Meg Mason, author of Sorrow & Bliss ______________________ An irresistible collection of essays and memoir from the internationally bestselling, Women's Prize-winning author of The Dutch House 'Any story that starts will also end.' As a writer, Ann Patchett knows what the outcome of her fiction will be. Life, however, often takes turns we do not see coming. Patchett ponders this as she explores family, friendship, marriage, failure, success, and what it all means. Ranging from the personal – her portrait of the three men she called her fathers; how a chance encounter with Tom Hanks led to one of the most important friendships of her life; how to answer when someone asks why you don't have children – to the sublime – the unexpected influence of Snoopy; the importance of knitting; the pleasure to be found in children's books – each essay transforms the particular into the universal, letting us all see our own worlds anew. Illuminating, penetrating, funny and generous, These Precious Days is joyful time spent in the company of one of our greatest living authors. 'Patchett's essays are both sharp and humane ... like a hugely enjoyable conversation with a particularly brilliant friend' Sadie Jones",Note non disponible,2021-11-23,Biography & Autobiography
The Dawn of Everything,"David Graeber, David Wengrow","THE NEW YORK TIMES BESTSELLER AND SUNDAY TIMES, OBSERVER AND BBC HISTORY BOOK OF THE YEAR FINALIST FOR THE ORWELL PRIZE FOR POLITICAL WRITING 2022 'Pacey and potentially revolutionary' Sunday Times 'Iconoclastic and irreverent ... an exhilarating read' The Guardian For generations, our remote ancestors have been cast as primitive and childlike - either free and equal, or thuggish and warlike. Civilization, we are told, could be achieved only by sacrificing those original freedoms or, alternatively, by taming our baser instincts. David Graeber and David Wengrow show how such theories first emerged in the eighteenth century as a reaction to indigenous critiques of European society, and why they are wrong. In doing so, they overturn our view of human history, including the origins of farming, property, cities, democracy, slavery and civilization itself. Drawing on path-breaking research in archaeology and anthropology, the authors show how history becomes a far more interesting place once we begin to see what's really there. If humans did not spend 95 per cent of their evolutionary past in tiny bands of hunter-gatherers, what were they doing all that time? If agriculture, and cities, did not mean a plunge into hierarchy and domination, then what kinds of social and economic organization did they lead to? The answers are often unexpected, and suggest that the course of history may be less set in stone, and more full of playful possibilities than we tend to assume. The Dawn of Everything fundamentally transforms our understanding of the human past and offers a path toward imagining new forms of freedom, new ways of organizing society. This is a monumental book of formidable intellectual range, animated by curiosity, moral vision and faith in the power of direct action. 'This is not a book. This is an intellectual feast' Nassim Nicholas Taleb 'The most profound and exciting book I've read in thirty years' Robin D. G. Kelley",Note non disponible,2021-10-19,History
Call Us What We Carry,Amanda Gorman,"The instant #1 New York Times, Wall Street Journal, and USA Today bestseller The breakout poetry collection by #1 New York Times bestselling author and presidential inaugural poet Amanda Gorman Formerly titled The Hill We Climb and Other Poems, the luminous poetry collection by #1 New York Times bestselling author and presidential inaugural poet Amanda Gorman captures a shipwrecked moment in time and transforms it into a lyric of hope and healing. In Call Us What We Carry, Gorman explores history, language, identity, and erasure through an imaginative and intimate collage. Harnessing the collective grief of a global pandemic, this beautifully designed volume features poems in many inventive styles and structures and shines a light on a moment of reckoning. Call Us What We Carry reveals that Gorman has become our messenger from the past, our voice for the future.",5,2021-12-07,Poetry
The Judge's List,John Grisham,"***THE SUNDAY TIMES THRILLER OF THE MONTH*** 'Besides the usual Grisham virtues of an arresting idea, polished plotting and vivid social snapshots, what's impressive here is his willingness to take on fresh challenges' THE SUNDAY TIMES Nonstop suspense from the Sunday Times bestselling author: Investigator Lacy Stoltz follows the trail of a serial killer, and closes in on a shocking suspect - a sitting judge. In The Whistler, Lacy Stoltz investigated a corrupt judge who was taking millions in bribes from a crime syndicate. She put the criminals away, but only after being attacked and nearly killed. Three years later, and approaching forty, she is tired of her work for the Florida Board on Judicial Conduct and ready for a change. Then she meets a mysterious woman who is so frightened she uses a number of aliases. Jeri Crosby's father was murdered twenty years earlier in a case that remains unsolved and that has grown stone cold. But Jeri has a suspect whom she has become obsessed with and has stalked for two decades. Along the way, she has discovered other victims. Suspicions are easy enough, but proof seems impossible. The man is brilliant, patient, and always one step ahead of law enforcement. He is the most cunning of all serial killers. He knows forensics, police procedure, and most important: he knows the law. He is a judge, in Florida - under Lacy's jurisdiction. He has a list, with the names of his victims and targets, all unsuspecting people unlucky enough to have crossed his path and wronged him in some way. How can Lacy pursue him, without becoming the next name on his list? The Judge's List is by any measure John Grisham's most surprising, chilling novel yet. 'The shocks come thick and fast in this slick thriller that is impossible to put down' THE SUN 'An excellent nail-bitingly tense thriller' IRISH INDEPENDENT 350+ million copies, 45 languages, 9 blockbuster films: NO ONE WRITES DRAMA LIKE JOHN GRISHAM",Note non disponible,2021-10-26,Fiction
The Stranger in the Lifeboat,Mitch Albom,"#1 New York Times Bestseller What would happen if we called on God for help and God actually appeared? In Mitch Albom’s profound new novel of hope and faith, a group of shipwrecked passengers pull a strange man from the sea. He claims to be “the Lord.” And he says he can only save them if they all believe in him. Adrift in a raft after a deadly ship explosion, ten people struggle for survival at sea. Three days pass. Short on water, food and hope, they spot a man floating in the waves. They pull him in. “Thank the Lord we found you,” a passenger says. “I am the Lord,” the man whispers. So begins Mitch Albom’s most beguiling novel yet. Albom has written of heaven in the celebrated number one bestsellers The Five People You Meet in Heaven and The First Phone Call from Heaven. Now, for the first time in his fiction, he ponders what we would do if, after crying out for divine help, God actually appeared before us? In The Stranger in the Lifeboat, Albom keeps us guessing until the end: Is this strange man really who he claims to be? What actually happened to cause the explosion? Are the survivors in heaven, or are they in hell? The story is narrated by Benji, one of the passengers, who recounts the events in a notebook that is discovered—a year later—when the empty life raft washes up on the island of Montserrat. It falls to the island’s chief inspector, Jarty LeFleur, a man battling his own demons, to solve the mystery of what really happened. A fast-paced, compelling novel that makes you ponder your deepest beliefs, The Stranger in the Lifeboat suggests that answers to our prayers may be found where we least expect them.",5,2021-11-02,Fiction
