title,authors,description,published_date,categories,goodreads_rating
Sam Houston and the Alamo Avengers,Brian Kilmeade,"The New York Times bestseller now in paperback with a new epilogue. In March 1836, the Mexican army led by General Santa Anna massacred more than two hundred Texians who had been trapped in the Alamo. After thirteen days of fighting, American legends Jim Bowie and Davey Crockett died there, along with other Americans who had moved to Texas looking for a fresh start. It was a crushing blow to Texas’s fight for freedom. But the story doesn’t end there. The defeat galvanized the Texian settlers, and under General Sam Houston’s leadership they rallied. Six weeks after the Alamo, Houston and his band of settlers defeated Santa Anna’s army in a shocking victory, winning the independence for which so many had died. Sam Houston and the Alamo Avengers recaptures this pivotal war that changed America forever, and sheds light on the tightrope all war heroes walk between courage and calculation. Thanks to Kilmeade’s storytelling, a new generation of readers will remember the Alamo—and recognize the lesser known heroes who snatched victory from the jaws of defeat.",2019-11-05,History,3.74
A Warning,Anonymous,"An unprecedented behind-the-scenes portrait of the Trump presidency from the anonymous senior official whose first words of warning about the president rocked the nation's capital. On September 5, 2018, the New York Times published a bombshell essay and took the rare step of granting its writer anonymity. Described only as ""a senior official in the Trump administration,"" the author provided eyewitness insight into White House chaos, administration instability, and the people working to keep Donald Trump's reckless impulses in check. With the 2020 election on the horizon, Anonymous is speaking out once again. In this book, the original author pulls back the curtain even further, offering a first-of-its-kind look at the president and his record -- a must-read before Election Day. It will surprise and challenge both Democrats and Republicans, motivate them to consider how we judge our nation's leaders, and illuminate the consequences of re-electing a commander in chief unfit for the role. This book is a sobering assessment of the man in the Oval Office and a warning about something even more important -- who we are as a people.",2019-11-19,Political Science,4.50
The Body,Bill Bryson,"#1 Bestseller in both hardback and paperback: SHORTLISTED FOR THE 2020 ROYAL SOCIETY INSIGHT INVESTMENT SCIENCE BOOK PRIZE _______ 'A directory of wonders.' - The Guardian 'Jaw-dropping.' - The Times 'Classic, wry, gleeful Bryson...an entertaining and absolutely fact-rammed book.' - The Sunday Times 'It is a feat of narrative skill to bake so many facts into an entertaining and nutritious book.' - The Daily Telegraph _______ 'We spend our whole lives in one body and yet most of us have practically no idea how it works and what goes on inside it. The idea of the book is simply to try to understand the extraordinary contraption that is us.' Bill Bryson sets off to explore the human body, how it functions and its remarkable ability to heal itself. Full of extraordinary facts and astonishing stories The Body: A Guide for Occupants is a brilliant, often very funny attempt to understand the miracle of our physical and neurological make up. A wonderful successor to A Short History of Nearly Everything, this new book is an instant classic. It will have you marvelling at the form you occupy, and celebrating the genius of your existence, time and time again. 'What I learned is that we are infinitely more complex and wondrous, and often more mysterious, than I had ever suspected. There really is no story more amazing than the story of us.' Bill Bryson",2019-10-03,Science,4.26
Mobituaries,Mo Rocca,"From beloved CBS Sunday Morning correspondent and humorist Mo Rocca, an entertaining and rigorously researched book that celebrates the dead people who have long fascinated him. Mo Rocca has always loved obituaries—reading about the remarkable lives of global leaders, Hollywood heavyweights, and innovators who changed the world. But not every notable life has gotten the send-off it deserves. His quest to right that wrong inspired Mobituaries, his #1 hit podcast. Now with Mobituaries, the book, he has gone much further, with all new essays on artists, entertainers, sports stars, political pioneers, founding fathers, and more. Even if you know the names, you’ve never understood why they matter...until now. Take Herbert Hoover: before he was president, he was the “Great Humanitarian,” the man who saved tens of millions from starvation. But after less than a year in the White House, the stock market crashed, and all the good he had done seemed to be forgotten. Then there’s Marlene Dietrich, well remembered as a screen goddess, less remembered as a great patriot. Alongside American servicemen on the front lines during World War II, she risked her life to help defeat the Nazis of her native Germany. And what about Billy Carter and history’s unruly presidential brothers? Were they ne’er-do-well liabilities…or secret weapons? Plus, Mobits for dead sports teams, dead countries, the dearly departed station wagon, and dragons. Yes, dragons. Rocca is an expert researcher and storyteller. He draws on these skills here. With his dogged reporting and trademark wit, Rocca brings these men and women back to life like no one else can. Mobituaries is an insightful and unconventional account of the people who made life worth living for the rest of us, one that asks us to think about who gets remembered, and why.",2019-11-05,Biography & Autobiography,4.07
No One Is Too Small to Make a Difference,Greta Thunberg,"The #1 New York Times bestseller by Time's 2019 Person of the Year ""Greta Thunberg is already one of our planet’s greatest advocates."" —Barack Obama The groundbreaking speeches of Greta Thunberg, the young climate activist who has become the voice of a generation, including her historic address to the United Nations In August 2018 a fifteen-year-old Swedish girl, Greta Thunberg, decided not to go to school one day in order to protest the climate crisis. Her actions sparked a global movement, inspiring millions of students to go on strike for our planet, forcing governments to listen, and earning her a Nobel Peace Prize nomination. No One Is Too Small to Make A Difference brings you Greta in her own words, for the first time. Collecting her speeches that have made history across the globe, from the United Nations to Capitol Hill and mass street protests, her book is a rallying cry for why we must all wake up and fight to protect the living planet, no matter how powerless we feel. Our future depends upon it.",2019-11-12,Biography & Autobiography,3.86
Triggered,Donald Trump Jr.,"This is the book that the leftist elites don't want you to read: Donald Trump, Jr., exposes all the tricks that the left uses to smear conservatives and push them out of the public square, from online ""shadow banning"" to rampant ""political correctness."" In Triggered, Donald Trump, Jr. exposes all the tricks that the left uses to smear conservatives and push them out of the public square, from online ""shadow banning"" to fake accusations of ""hate speech."" No topic is spared from political correctness. This is the book that the leftist elites don't want you to read! Trump, Jr. writes about the importance of fighting back and standing up for what you believe in. From his childhood summers in Communist Czechoslovakia that began his political thought process, to working on construction sites with his father, to the major achievements of President Trump's administration, Donald Trump, Jr. spares no details and delivers a book that focuses on success, perseverance, and determination.",2019-11-05,Political Science,3.40
Finding Chika,Mitch Albom,"FROM THE MASTER STORYTELLER WHOSE BOOKS HAVE TOUCHED THE HEARTS OF OVER 40 MILLION READERS 'Mitch Albom sees the magical in the ordinary' Cecilia Ahern __________ Chika Jeune came into Mitch Albom's life by chance. Growing up in the aftermath of the devastating 2010 Haiti Earthquake, at three years old she tragically lost her mother and was brought to the orphanage run by Mitch and his wife, Janine. Chika made a quick impression. Brave and self-assured, she delighted those around her. But everything changed when Chika was diagnosed with a terminal disease that no doctor in Haiti could treat. This discovery sparked a two-year, around-the-world journey in search of a cure. As Chika's boundless optimism and humour taught Mitch the joys of caring for a child, he learned that a relationship built on love can never be lost. __________ WHAT READERS ARE SAYING ABOUT FINDING CHIKA 'A powerful, emotional story' 'If you read one book this year, make it this one!' 'A beautifully written book, heart-breaking and uplifting in equal measure' 'An amazing journey of determination and love' 'I laughed, I cried, and just couldn't put it down'",2019-11-05,Biography & Autobiography,4.18
The Book of Gutsy Women,"Hillary Rodham Clinton, Chelsea Clinton","She couldn’t have been more than seven or eight years old. “Go ahead, ask your question,” her father urged, nudging her forward. She smiled shyly and said, “You’re my hero. Who’s yours?” Many people—especially girls—have asked us that same question over the years. It’s one of our favorite topics. HILLARY: Growing up, I knew hardly any women who worked outside the home. So I looked to my mother, my teachers, and the pages of Life magazine for inspiration. After learning that Amelia Earhart kept a scrapbook with newspaper articles about successful women in male-dominated jobs, I started a scrapbook of my own. Long after I stopped clipping articles, I continued to seek out stories of women who seemed to be redefining what was possible. CHELSEA: This book is the continuation of a conversation the two of us have been having since I was little. For me, too, my mom was a hero; so were my grandmothers. My early teachers were also women. But I grew up in a world very different from theirs. My pediatrician was a woman, and so was the first mayor of Little Rock who I remember from my childhood. Most of my close friends’ moms worked outside the home as nurses, doctors, teachers, professors, and in business. And women were going into space and breaking records here on Earth. Ensuring the rights and opportunities of women and girls remains a big piece of the unfinished business of the twenty-first century. While there’s a lot of work to do, we know that throughout history and around the globe women have overcome the toughest resistance imaginable to win victories that have made progress possible for all of us. That is the achievement of each of the women in this book. So how did they do it? The answers are as unique as the women themselves. Civil rights activist Dorothy Height, LGBTQ trailblazer Edie Windsor, and swimmer Diana Nyad kept pushing forward, no matter what. Writers like Rachel Carson and Chimamanda Ngozi Adichie named something no one had dared talk about before. Historian Mary Beard used wit to open doors that were once closed, and Wangari Maathai, who sparked a movement to plant trees, understood the power of role modeling. Harriet Tubman and Malala Yousafzai looked fear in the face and persevered. Nearly every single one of these women was fiercely optimistic—they had faith that their actions could make a difference. And they were right. To us, they are all gutsy women—leaders with the courage to stand up to the status quo, ask hard questions, and get the job done. So in the moments when the long haul seems awfully long, we hope you will draw strength from these stories. We do. Because if history shows one thing, it’s that the world needs gutsy women.",2019-10-01,Biography & Autobiography,4.14
How To,Randall Munroe,"AN INSTANT #1 NEW YORK TIMES BESTSELLER “How To will make you laugh as you learn…With How To, you can't help but appreciate the glorious complexity of our universe and the amazing breadth of humanity's effort to comprehend it. If you want some lightweight edification, you won't go wrong with How To.” —CNET “[How To] has science and jokes in it, so 10/10 can recommend.” —Simone Giertz The world's most entertaining and useless self-help guide from the brilliant mind behind the wildly popular webcomic xkcd and the bestsellers What If? and Thing Explainer For any task you might want to do, there's a right way, a wrong way, and a way so monumentally complex, excessive, and inadvisable that no one would ever try it. How To is a guide to the third kind of approach. It's full of highly impractical advice for everything from landing a plane to digging a hole. Bestselling author and cartoonist Randall Munroe explains how to predict the weather by analyzing the pixels of your Facebook photos. He teaches you how to tell if you're a baby boomer or a 90's kid by measuring the radioactivity of your teeth. He offers tips for taking a selfie with a telescope, crossing a river by boiling it, and powering your house by destroying the fabric of space-time. And if you want to get rid of the book once you're done with it, he walks you through your options for proper disposal, including dissolving it in the ocean, converting it to a vapor, using tectonic plates to subduct it into the Earth's mantle, or launching it into the Sun. By exploring the most complicated ways to do simple tasks, Munroe doesn't just make things difficult for himself and his readers. As he did so brilliantly in What If?, Munroe invites us to explore the most absurd reaches of the possible. Full of clever infographics and fun illustrations, How To is a delightfully mind-bending way to better understand the science and technology underlying the things we do every day.",2019-09-03,Humor,3.67
The Guardians,John Grisham,"#1 NEW YORK TIMES BEST SELLER • A classic legal thriller—with a twist. • ""A suspenseful thriller mixed with powerful themes such as false incarceration, the death penalty and how the legal system shows prejudice.” —Associated Press In the small Florida town of Seabrook, a young lawyer named Keith Russo was shot dead at his desk as he worked late one night. The killer left no clues. There were no witnesses, no one with a motive. But the police soon came to suspect Quincy Miller, a young Black man who was once a client of Russo’s. Quincy was tried, convicted, and sent to prison for life. For twenty-two years he languished in prison, maintaining his innocence. But no one was listening. He had no lawyer, no advocate on the outside. In desperation, he writes a letter to Guardian Ministries, a small nonprofit run by Cullen Post, a lawyer who is also an Episcopal minister. Guardian accepts only a few innocence cases at a time. Cullen Post travels the country fighting wrongful convictions and taking on clients forgotten by the system. With Quincy Miller, though, he gets far more than he bargained for. Powerful, ruthless people murdered Keith Russo, and they do not want Quincy Miller exonerated. They killed one lawyer twenty-two years ago, and they will kill another without a second thought. Don’t miss John Grisham’s new book, THE EXCHANGE: AFTER THE FIRM!",2019-10-15,Fiction,4.14
Criss Cross,James Patterson,"SOON TO BE AN ORIGINAL AMAZON PRIME SERIES ________________________________________ 'Sensationally plotted, it leaps off the page and grabs you by the throat' DAILY MAIL 'No one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it.' LEE CHILD 'Alex Cross is a legend.' HARLAN COBEN __________________________________ THE SUNDAY TIMES BESTSELLER Could a ghost from his past take everything away from Alex Cross? Only hours after witnessing the execution of a killer he helped put behind bars, Alex Cross is called to the scene of a copycat murder. A note signed 'M' rests on the corpse: 'You messed up big time, Dr. Cross.' Was an innocent man just put to death? As the executed convict's family launch a vicious campaign against Cross, his abilities as a detective are called into question. The enigmatic 'M' lures Cross out of Washington, DC to the sites of multiple homicides, all marked with distressingly familiar details that conjure up decades-old cases and Cross family secrets. Details that make it clear M is planning to destroy much more than Cross's reputation. __________________________________ Readers say it's one of the best Alex Cross books yet: 'I have to say that this is one of my favourite Alex Cross books in a long time!' 'I read this book in one sitting and highly recommend it. I've read every single Alex Cross book and this one didn't disappoint. It has a great mix of new cases linked to old cases for Cross.' 'Romped through the latest Alex Cross book! Great read that I just couldn't put down.' 'An intriguing storyline involving the Cross family and enemies from his past. A must read for Patterson fans.' 'As always with James Patterson, he had me from the first page, and kept the pace up to the last.' 'Roll on the next instalment.' 'I absolutely loved this book and once I started reading I just couldn't put it down. It's a fast-paced read, no time to take a break or breathe out as the situations and mysteries are on a roll and unstoppable.' 'A great addition to the Cross series by the most known author in the world for mystery thrillers' 'James Patterson is back at the top of his game with this one.' 'I'm a massive fan of the Alex Cross series so I jumped at the chance to review the latest installment, and I'm so pleased it didn't disappoint. It's action-packed right from the start and had me gripped straight away. ' 'This book is fast paced with lots of twists and turns. My first James Patterson but not my last, really enjoyed and so will you.' 'I have long been a fan of the author and his long running Alex Cross series and this book does not disappoint .' 'I think this one constitutes a must read for fans of Patterson and Dr Cross.' __________________________________ 'It's no mystery why James Patterson is the world's most popular thriller writer . . . Simply put: nobody does it better.' JEFFERY DEAVER 'The master storyteller of our times' HILLARY RODHAM CLINTON 'Patterson boils a scene down to the single, telling detail, the element that defines a character or moves a plot along. It's what fires off the movie projector in the reader's mind.' MICHAEL CONNELLY 'One of the greatest storytellers of all time' PATRICIA CORNWELL 'James Patterson is The Boss. End of.' IAN RANKIN",2019-11-14,Fiction,4.26
Blue Moon,Lee Child,"AS FEATURED ON RICHARD & JUDY'S 'KEEP READING AND CARRY ON' 'This is one of his best' - The Times Jack Reacher is back in a brand new white-knuckle read from Lee Child. It's a random universe, but once in a blue moon things turn out just right. In a nameless city, two rival criminal gangs are competing for control. But they hadn't counted on Jack Reacher arriving on their patch. Reacher is trained to notice things. He's on a Greyhound bus, watching an elderly man sleeping in his seat, with a fat envelope of cash hanging out of his pocket. Another passenger is watching too ... hoping to get rich quick. As the mugger makes his move, Reacher steps in. The old man is grateful, yet he turns down Reacher's offer to help him home. He's vulnerable, scared, and clearly in big, big trouble. What hold could the gangs have on the old guy? Will Reacher be in time to stop bad things happening? The odds are better with Reacher involved. That's for damn sure. 'Everyone needs to kick some [butt] sometimes, even if it's just imaginary' JOJO MOYES _________ Although the Jack Reacher novels can be read in any order, Blue Moon is the 24th in the series. And be sure not to miss Reacher's newest adventure, no.29, In Too Deep! ***PRE-ORDER NOW***",2019-10-29,Fiction,3.96
A Minute to Midnight,David Baldacci,"A Minute to Midnight is the gripping follow up to Long Road to Mercy featuring Special Agent Atlee Pine from one of the world’s most favourite thriller writers, David Baldacci. Without Mercy. At six years old, Atlee’s twin sister, Mercy, was taken from the family home while Atlee was left for dead. Since that fateful night, Atlee has dedicated her life and career to catching those who hurt others. Word of a killer. Atlee has never stopped searching for answers about her sister. A notorious serial killer, locked in a maximum-security prison, continues to haunt her. Does he really know what happened to Mercy? Quest for justice. When Atlee oversteps the mark on the arrest of a dangerous criminal, the FBI gives her a leave of absence – the perfect opportunity to return to where it all began. Determined to finally uncover the truth, Atlee Pine’s journey home turns into a rollercoaster ride of murder, long-buried secrets and lies . . . and a revelation so personal that everything she once believed is fast turning to dust.",2019-11-14,Fiction,4.21
