title,authors,description,published_date,categories,goodreads_rating
Oath and Honor,Liz Cheney,"INSTANT #1 BESTSELLER: A gripping first-hand account of the January 6th, 2021, insurrection from inside the halls of Congress, from origins to aftermath, as Donald Trump and his enablers betrayed the American people and the Constitution—by the House Republican leader who dared to stand up to it. In the aftermath of the 2020 presidential election, Donald Trump and many around him, including certain other elected Republican officials, intentionally breached their oath to the Constitution: they ignored the rulings of dozens of courts, plotted to overturn a lawful election, and provoked a violent attack on our Capitol. Liz Cheney, one of the few Republican officials to take a stand against these efforts, witnessed the attack first-hand, and then helped lead the Congressional Select Committee investigation into how it happened. In Oath and Honor, she tells the story of this perilous moment in our history, those who helped Trump spread the stolen election lie, those whose actions preserved our constitutional framework, and the risks we still face.",2023-12-05,Biography & Autobiography,3.73
The Wager,David Grann,"From the international bestselling author of KILLERS OF THE FLOWER MOON and THE LOST CITY OF Z, a mesmerising story of shipwreck, mutiny and murder, culminating in a court martial that reveals a shocking truth. On 28th January 1742, a ramshackle vessel of patched-together wood and cloth washed up on the coast of Brazil. Inside were thirty emaciated men, barely alive, and they had an extraordinary tale to tell. They were survivors of His Majesty’s ship the Wager, a British vessel that had left England in 1740 on a secret mission during an imperial war with Spain. While chasing a Spanish treasure-filled galleon, the Wager was wrecked on a desolate island off the coast of Patagonia. The crew, marooned for months and facing starvation, built the flimsy craft and sailed for more than a hundred days, traversing 2,500 miles of storm-wracked seas. They were greeted as heroes. Then, six months later, another, even more decrepit, craft landed on the coast of Chile. This boat contained just three castaways and they had a very different story to tell. The thirty sailors who landed in Brazil were not heroes – they were mutineers. The first group responded with counter-charges of their own, of a tyrannical and murderous captain and his henchmen. While stranded on the island the crew had fallen into anarchy, with warring factions fighting for dominion over the barren wilderness. As accusations of treachery and murder flew, the Admiralty convened a court martial to determine who was telling the truth. The stakes were life-and-death—for whomever the court found guilty could hang.",2023-05-11,History,3.67
The Woman in Me,Britney Spears,"#1 New York Times Bestseller Winner of the 2023 Goodreads Choice Award for Best Memoir & Autobiography Named a Best Book of 2023 by ELLE, The Washington Post, Vulture, NPR, The New Statesmen (UK), The New Yorker, and more! “In Britney Spears’s memoir, she’s stronger than ever.” —The New York Times The Woman in Me is a brave and astonishingly moving story about freedom, fame, motherhood, survival, faith, and hope. In June 2021, the whole world was listening as Britney Spears spoke in open court. The impact of sharing her voice—her truth—was undeniable, and it changed the course of her life and the lives of countless others. The Woman in Me reveals for the first time her incredible journey—and the strength at the core of one of the greatest performers in pop music history. Written with remarkable candor and humor, Spears’s groundbreaking book illuminates the enduring power of music and love—and the importance of a woman telling her own story, on her own terms, at last.",2023-10-24,Biography & Autobiography,3.86
Killers of the Flower Moon,David Grann,"1921. Les guerres indiennes sont loin. Leurs survivants ont, pour la plupart, été parqués dans des réserves où ils végètent, misérables, abandonnés à leur sort. Une exception à cette règle : le peuple osage. Il s’est vu attribuer un territoire minéral aux confins de l’Oklahoma. Or ces rochers recouvrent le plus grand gisement de pétrole des États-Unis. Les Osages sont millionnaires, roulent en voitures haut de gamme, envoient leurs enfants dans les plus prestigieuses universités et se font servir par des domestiques blancs. Un jour, deux membres de la tribu disparaissent. Un corps est retrouvé, une balle dans la tête. Puis une femme meurt empoisonnée. Et une autre. Plus tard, une maison explose. Qui commet ces assassinats ? Qui a intérêt à terroriser les riches Osages ? Les premières enquêtes, locales, sont bâclées ; elles piétinent. C’est pourquoi, après une nouvelle série noire, ce dossier brûlant est confié au BOI (Bureau of Investigation, qui deviendra le FBI en 1935). À sa tête, un très jeune homme. Son nom est Edgar J. Hoover. Il veut deux choses. La première : faire toute la lumière sur cette sombre affaire, et il s’en donne les moyens – enquêteurs hors pair, méthodes rigoureuses de police scientifique, mise en fiche de la moindre information. La seconde : le pouvoir. Surtout le pouvoir.",2023-10-05T00:00:00+02:00,Literary Collections,4.38
Elon Musk,Walter Isaacson,"From the author of Steve Jobs and other bestselling biographies, this is the astonishingly intimate story of the most fascinating and controversial innovator of our era—a rule-breaking visionary who helped to lead the world into the era of electric vehicles, private space exploration, and artificial intelligence. Oh, and took over Twitter. Australian Financial Review Top 20 Read for 2023​ When Elon Musk was a kid in South Africa, he was regularly beaten by bullies. One day a group pushed him down some concrete steps and kicked him until his face was a swollen ball of flesh. He was in the hospital for a week. But the physical scars were minor compared to the emotional ones inflicted by his father, an engineer, rogue, and charismatic fantasist. His father’s impact on his psyche would linger. He developed into a tough yet vulnerable man-child, prone to abrupt Jekyll-and-Hyde mood swings, with an exceedingly high tolerance for risk, a craving for drama, an epic sense of mission, and a maniacal intensity that was callous and at times destructive. At the beginning of 2022—after a year marked by SpaceX launching thirty-one rockets into orbit, Tesla selling a million cars, and him becoming the richest man on earth—Musk spoke ruefully about his compulsion to stir up dramas. “I need to shift my mindset away from being in crisis mode, which it has been for about fourteen years now, or arguably most of my life,” he said. It was a wistful comment, not a New Year’s resolution. Even as he said it, he was secretly buying up shares of Twitter, the world’s ultimate playground. Over the years, whenever he was in a dark place, his mind went back to being bullied on the playground. Now he had the chance to own the playground. For two years, Isaacson shadowed Musk, attended his meetings, walked his factories with him, and spent hours interviewing him, his family, friends, coworkers, and adversaries. The result is the revealing inside story, filled with amazing tales of triumphs and turmoil, that addresses the question: are the demons that drive Musk also what it takes to drive innovation and progress?",2023-09-13,Biography & Autobiography,4.00
Outlive,"Peter Attia, Bill Gifford","- THE INSTANT SUNDAY TIMES AND NEW YORK TIMES BESTSELLER, AND OVER 1 MILLION COPIES SOLD GLOBALLY - This is the ultimate manual for living better and longer. For all its successes, mainstream medicine has failed to make much progress against the diseases of ageing that kill most people: heart disease, cancer, Alzheimer's disease, and type 2 diabetes. Too often, it intervenes with treatments too late, prolonging lifespan at the expense of quality of life. Dr Peter Attia, the world's top longevity expert who is featured on Chris Hemsworth's National Geographic documentary LIMITLESS, believes we must replace this outdated framework with a personalised, proactive strategy for longevity. This isn't 'biohacking,' it's science: a well-founded strategic approach to extending lifespan while improving our physical, cognitive and emotional health, making each decade better than the one before. With Outlive's practical advice and roadmap, you can plot a different path for your life, one that lets you outlive your genes to make each decade better than the one before. In the Daily Mail's 'TOP READS OF 2023: Books that will help you feel better for longer' 'One of the most important books you'll ever read.' - Steven D. Levitt, New York Times bestselling author of Freakonomics 'Highlighters at the ready. This is jam packed with things you will wish you had known before. I devoured the audiobook and instantly bought a hard copy to keep on my desk' - Dr Julie Smith, bestselling author of Why Has Nobody Told Me This Before",2023-03-28,Health & Fitness,3.77
Ghosts of Honolulu,Mark Harmon,"NEW YORK TIMES BESTSELLER ""A fast-paced debut...Espionage buffs will savor this vibrant account."" — Publishers Weekly A U.S. naval counterintelligence officer working to safeguard Pearl Harbor; a Japanese spy ordered to Hawaii to gather information on the American fleet. On December 7, 1941, their hidden stories are exposed by a morning of bloodshed that would change the world forever. Scrutinizing long-buried historical documents, NCIS star Mark Harmon and co-author Leon Carroll, a former NCIS Special Agent, have brought forth a true-life NCIS story of deception, discovery, and danger. Hawaii, 1941. War clouds with Japan are gathering and the islands of Hawaii have become battlegrounds of spies, intelligence agents, and military officials - with the island's residents caught between them. Toiling in the shadows are Douglas Wada, the only Japanese American agent in naval intelligence, and Takeo Yoshikawa, a Japanese spy sent to Pearl Harbor to gather information on the U.S. fleet. Douglas Wada's experiences in his native Honolulu include posing undercover as a newspaper reporter, translating wiretaps on the Japanese Consulate, and interrogating America's first captured POW of World War II, a submarine officer found on the beach. Takeo Yoshikawa is a Japanese spy operating as a junior diplomat with the consulate who is collecting vital information that goes straight to Admiral Yamamoto. Their dueling stories anchor Ghosts of Honolulu's gripping depiction of the world-changing cat and mouse games played between Japanese and US military intelligence agents (and a mercenary Nazi) in Hawaii before the outbreak of the second world war. Also caught in the upheaval are Honolulu's innocent residents - including Douglas Wada's father - who endure the war's anti-Japanese fervor and a cadre of intelligence professionals who must prevent Hawaii from adopting the same destructive mass internments as California. Ghosts of Honolulu depicts the incredible high stakes game of naval intelligence and the need to define what is real and what only appears to be real.",2023-11-14,History,3.75
Behind the Seams,Dolly Parton,"'I hope that as you gaze upon my life in clothing, it will inspire you to develop, and celebrate, your own sense of style. I value my freedom to look like and be my own true self more than anything else, and I hope this book will also give you the confidence to look like and be the person you want to be. Whoever you are, be that! And enjoy your journey behind the seams' - Dolly A beautifully illustrated celebration of Dolly Parton's iconic sense of style through entertaining personal stories and 450 full-color photographs, including exclusive images from her private costume archive. In Behind the Seams: My Life in Rhinestones, global superstar Dolly Parton shares, for the first time, the full story behind her lifelong passion for fashion, including how she developed her own, distinctly Dolly style, which has defied convention and endeared her to fans around the world. Featuring behind-the-scenes stories from Dolly Parton's life and career, and the largest reveal of her private costume archive, this gorgeously photographed book spotlights her most unforgettable looks from the 1960s to now. The sky-high heels, famous wigs, bold makeup, eye-catching stage clothes - she shares them all. Along the way, Parton discusses memorable outfits from her past, from the clothes her mother would sew out of feed sacks (including her ""Coat of Many Colors"") and the bold dresses and hairdos that shook up Nashville, to the bunny suit on the cover of Playboy, evening wear at Studio 54, costumes from her most famous film and TV roles, and the daring styles that continue to entertain and inspire today. Filled with candor, humor, and lots and lots of rhinestones, Behind the Seams: My Life in Rhinestones is a shining tribute to one of the most beloved musicians in history, a treasured keepsake for anyone who loves Dolly Parton, and an indispensable guide to forging your own path to beauty and confidence.",2023-10-19,Biography & Autobiography,3.77
Prequel,Rachel Maddow,"#1 NEW YORK TIMES BESTSELLER • Rachel Maddow traces the fight to preserve American democracy back to World War II, when a handful of committed public servants and brave private citizens thwarted far-right plotters trying to steer our nation toward an alliance with the Nazis. “A ripping read—well rendered, fast-paced and delivered with the same punch and assurance that she brings to a broadcast. . . . The parallels to the present day are strong, even startling.”—The New York Times (Editors’ Choice) Inspired by her research for the hit podcast Ultra, Rachel Maddow charts the rise of a wild American strain of authoritarianism that has been alive on the far-right edge of our politics for the better part of a century. Before and even after our troops had begun fighting abroad in World War II, a clandestine network flooded the country with disinformation aimed at sapping the strength of the U.S. war effort and persuading Americans that our natural alliance was with the Axis, not against it. It was a sophisticated and shockingly well-funded campaign to undermine democratic institutions, promote antisemitism, and destroy citizens’ confidence in their elected leaders, with the ultimate goal of overthrowing the U.S. government and installing authoritarian rule. That effort worked—tongue and groove—alongside an ultra-right paramilitary movement that stockpiled bombs and weapons and trained for mass murder and violent insurrection. At the same time, a handful of extraordinary activists and journalists were tracking the scheme, exposing it even as it was unfolding. In 1941 the U.S. Department of Justice finally made a frontal attack, identifying the key plotters, finding their backers, and prosecuting dozens in federal court. None of it went as planned. While the scheme has been remembered in history—if at all—as the work of fringe players, in reality it involved a large number of some of the country’s most influential elected officials. Their interference in law enforcement efforts against the plot is a dark story of the rule of law bending and then breaking under the weight of political intimidation. That failure of the legal system had consequences. The tentacles of that unslain beast have reached forward into our history for decades. But the heroic efforts of the activists, journalists, prosecutors, and regular citizens who sought to expose the insurrectionists also make for a deeply resonant, deeply relevant tale in our own disquieting times.",2023-10-17,Political Science,3.50
My Effin' Life,Geddy Lee,Description non disponible,2023-11,Biography & Autobiography,3.00
Being Henry,Henry Winkler,"From Emmy-award winning actor, author, comedian, producer, and director Henry Winkler, a deeply thoughtful memoir of the lifelong effects of stardom and the struggle to become whole. Henry Winkler, launched into prominence as “The Fonz” in the beloved Happy Days, has transcended the role that made him who he is. Brilliant, funny, and widely-regarded as the nicest man in Hollywood (though he would be the first to tell you that it’s simply not the case, he’s really just grateful to be here), Henry shares in this achingly vulnerable memoir the disheartening truth of his childhood, the difficulties of a life with severe dyslexia, the pressures of a role that takes on a life of its own, and the path forward once your wildest dream seems behind you. Since the glorious era of Happy Days fame, Henry has endeared himself to a new generation with roles in such adored shows as Arrested Development, Parks and Recreation, and Barry, where he’s been revealed as an actor with immense depth and pathos, a departure from the period of his life when he was so distinctly typecast as The Fonz, he could hardly find work. Filled with profound heart, charm, and self-deprecating humor, Being Henry is a memoir about so much more than a life in Hollywood and the curse of stardom. It is a meaningful testament to the power of sharing truth and kindness and of finding fulfillment within yourself.",2023-10-31,Biography & Autobiography,3.83
Iron Flame,Rebecca Yarros,"The instant number one Sunday Times bestseller and thrilling sequel to the global phenomenon, Fourth Wing! Don't miss out on the series that the world can't stop talking about: 'An absolute romantasy sensation . . . Yarros is the true inheritor of Harry Potter and inspires Hunger Games levels of devotion' - Guardian 'Fear not, levels of fighting, rebelliousness and all-round sexiness are still sky-high' - Daily Mail 'Iron Flame is on course to set the world alight' - Glamour 'Yarros had me hooked from the first chapter' - Mail on Sunday __________________________________________ She survived her first year at Basgiath War College . . . but the danger is only beginning. Everyone expected Violet Sorrengail to die during her first year at Basgiath War College, Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet's already wondering how she'll get through. It's not just that it's grueling and maliciously brutal, or even that it's designed to stretch the riders' capacity for pain beyond endurance. It's the new vice commandant, who's made it his personal mission to teach Violet exactly how powerless she is - unless she betrays the man she loves. Although Violet's body might be weaker and frailer than everyone else's, she still has her wits, and a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules. But a determination to survive won't be enough this year. Because Violet knows the real secret hidden for centuries at Basgiath War College - and nothing, not even dragon fire, may be enough to save them in the end. __________________________________________ Reviews for Fourth Wing 'Pure escapism - think Hunger Games meets Fifty Shades' THE SUN 'We weren't expecting to become obsessed with Rebecca Yarros's Fourth Wing, but we very much are - and we're not alone . . .' SUNDAY TIMES STYLE 'I couldn't put it down!' MILLIE BOBBY BROWN 'This book contains an addictive, drug like essence that will make you relinquish all responsibility until the very last word. Do not say I didn't warn you' GLAMOUR 'Throw in an enemies-to-lovers plotline, some life-threatening trials and the threat of war in the outside world, and you've got yourself a deliciously gripping dish, which I downed in one sitting' STYLIST '2024 is the Year of the Dragon, according to the Chinese calendar. Dive into a fantasy narrative featuring these mythical, winged creatures.' POP SUGAR OTHER BOOKS IN THE EMPYREAN SERIES - FOURTH WING - IRON FLAME *Rebecca Yarros's Iron Flame was a Sunday Times Number One bestseller in hardback in the second week of November 2023",2023-11-07,Fiction,3.77
Summary of Lessons in Chemistry by Bonnie Garmus,Bonnie Garmus,"Elizabeth Zott is a chemist, not the typical female. The first to point out that there is no such thing is Elizabeth Zott, in fact. But since her Hastings Research Institute staff is entirely male and it's the early 1960s, their perspective on equality is somewhat unscientific. With one exception: Calvin Evans, the misanthropic, bright, and Nobel Prize nominee who, ironically, falls in love with her mind. The outcomes of true chemistry. Life is irrational, just like science. In light of this, Elizabeth Zott discovers herself to be a single mother a few years later and the reluctant star of Supper at Six, the nation's most adored cookery program.",2023,Sex role,4.00
The Little Liar,Mitch Albom,"A moving new novel from the beloved author of Tuesdays with Morrie and The Five People You Meet in Heaven When the Nazis invade Salonika, Greece, eleven-year-old Nico Crispi is offered a chance to save his family. He is instructed to convince his fellow Jewish residents to board trains heading towards the east, where they are promised jobs and safety. He dutifully goes to the station platform every day and reassures the passengers that the journey is safe. Only after it is too late does Nico discover that the people he loved would never return. In The Little Liar, Nico's story is interweaved with other individuals impacted by the occupation: his brother Sebastian, their schoolmate Fanni and the Nazi officer who radically changed their lives. As the decades pass, the consequences of what they endured come to light. Exploring honesty, survival, revenge and devotion, The Little Liar is a timeless story about the harm we inflict with our deceits, and the power of love to redeem us. What real readers say about Mitch Albom's books 'Breathtakingly beautiful. A story that will stay with you forever' 'A beautiful and flawlessly choreographed book . . . No other book may ever compare' 'One of my favourite books . . . Wonderful, inspirational, and heart-warming! To me, it is a MUST READ! 'The book is beyond words . . . Well written, engaging, poignant' 'This really is a wonderful book. You should read it'",2023-11-14,Fiction,4.00
