title,authors,description,average_rating,published_date,categories
The Third Gilmore Girl,Kelly Bishop,"'A remarkable person with remarkable stories to tell' Lauren Graham | 'I loved it!' Priscilla Lopez | 'Bold, unapologetic and inspiring' Sutton Foster Beloved award-winning actress Kelly Bishop, famous for playing the iconic Emily Gilmore in Gilmore Girls, finally tells the whole story of her six decades in show business in this long-awaited, candid, wise and captivating memoir. Kelly Bishop’s storied career has been defined by landmark achievements, from winning a Tony Award for her turn in the original Broadway cast of A Chorus Line to her memorable performance as Jennifer Grey’s mother in Dirty Dancing, but it is probably her role as matriarch Emily in the modern classic Gilmore Girls that cemented her legacy. Now, Bishop reflects on her remarkable life and looks towards the future, sharing some of her greatest stories and the life lessons she’s learned on her journey. From her early transition from dance to drama, to marrying young to a compulsive gambler, to the losses and achievements she experienced—among them marching for women’s rights and losing her second husband to cancer—Bishop offers a rich, genuine celebration of her life. Full of witty insights and featuring a special collection of personal and professional photographs, The Third Gilmore Girl is a warm, unapologetic, and powerful memoir from a woman who has left indelible impressions on her audiences for decades and has no plans on slowing down.",Note non disponible,2024-09-19,Biography & Autobiography
Confronting the Presidents,"Bill O'Reilly, Martin Dugard","Every American president, from Washington to Biden: Their lives, policies, foibles, and legacies, assessed with clear-eyed authority and wit. Authors of the acclaimed Killing books, the #1 bestselling narrative history series in the world, Bill O’Reilly and Martin Dugard begin a new direction with Confronting the Presidents. From Washington to Jefferson, Lincoln to Franklin Delano Roosevelt, Kennedy to Nixon, Reagan to Obama and Biden, the 45 United States presidents have left lasting impacts on our nation. Some of their legacies continue today, some are justly forgotten, and some have changed as America has changed. Whether famous, infamous, or obscure, all the presidents shaped our nation in unexpected ways. The authors' extensive research has uncovered never before seen historical facts based on private correspondence and newly discovered documentation, such as George Washington's troubled relationship with his mother. In Confronting the Presidents, O’Reilly and Dugard present 45 wonderfully entertaining and insightful portraits of each president, with no-spin commentary on their achievements—or lack thereof. Who best served America, and who undermined the founding ideals? Who were the first ladies, and what were their surprising roles in making history? Which presidents were the best, which the worst, and which didn’t have much impact? How do decisions made in one era, under the pressure of particular circumstances, still resonate today? And what do presidents like to eat, drink, and do when they aren’t working—or even sometimes when they are? These and many more questions are answered in each fascinating chapter of Confronting the Presidents. Written with O’Reilly and Dugard’s signature style, authority, and eye for telling detail, Confronting the Presidents will delight all readers of history, politics, and current affairs, especially during the 2024 election season.",Note non disponible,2024-09-10,History
Lucky Loser,"Russ Buettner, Susanne Craig","From the Pulitzer Prize-winning reporters behind the 2018 bombshell New York Times exposé of then-President Trump’s finances, an explosive investigation into the history of Donald Trump’s wealth, revealing how one of the country’s biggest business failures lied his way into the White House Soon after announcing his first campaign for the US presidency, Donald J. Trump told a national television audience that life “has not been easy for me. It has not been easy for me.” Building on a narrative he had been telling for decades, he spun a hardscrabble fable of how he parlayed a small loan from his father into a multi-billion-dollar business and real estate empire. This feat, he argued, made him singularly qualified to lead the country. Except: None of it was true. Born to a rich father who made him the beneficiary of his own highly lucrative investments, Trump received the equivalent of more than $500 million today via means that required no business expertise whatsoever. Drawing on over twenty years’ worth of Trump’s confidential tax information, including the tax returns he tried to conceal, alongside business records and interviews with Trump insiders, New York Times investigative reporters Russ Buettner and Susanne Craig track Trump's financial rise and fall, and rise and fall again. For decades, he squanders his fortunes on money losing businesses, only to be saved yet again by financial serendipity. He tacks his name above the door of every building, while taking out huge loans he’ll never repay. He obsesses over appearances, while ignoring threats to the bottom line and mounting costly lawsuits against city officials. He tarnishes the value of his name by allowing anyone with a big enough check to use it, and cheats the television producer who not only rescues him from bankruptcy but casts him as a business savant – the public image that will carry him to the White House. A masterpiece of narrative reporting, Lucky Loser is a meticulous, nearly-century spanning narrative, filled with scoops from Trump Tower, Mar-a-Lago, Atlantic City, and the set of The Apprentice. At a moment when Trump’s tether to success and power is more precarious than ever, here for the first time is the definitive true accounting of Trump and his money – what he had, what he lost, and what he has left – and the final word on the myth of Trump, the self-made billionaire.",Note non disponible,2024-09-17,Biography & Autobiography
On Freedom,Timothy Snyder,"Freedom is not just an absence of evil but a presence of good. The moment you believe freedom is given, it is gone. There is no freedom without solidarity; freedom for you means freedom for me. ‘In these hard times for liberty, On Freedom makes the case that freedom, once explored and understood, is the way forward’ PRESIDENT ZELENSKY From the acclaimed, bestselling author of On Tyranny comes a brilliant exploration of freedom – what it is, how it’s been misunderstood, and why it’s our only chance for survival. Freedom is our great commitment, but we have lost sight of what it means – leading us into crisis. Too many of us look at freedom as the absence of state power: we think we’re free if we can do and say as we please. But true freedom isn’t so much freedom from, as freedom to – the freedom to thrive, to take risks for futures we choose by working together. Freedom is the value that makes all other values possible. Drawing on the work of philosophers and political dissidents, conversations with contemporary thinkers and his own experiences, Snyder identifies the practices and attitudes that will allow us to design a government in which we and future generations can flourish. Intimate yet ambitious, this book forges a new consensus rooted in a politics of abundance, generosity and grace. On Tyranny inspired millions around the world to fight for freedom; On Freedom helps us see exactly what we’re fighting for. It is a thrilling intellectual journey and a tour de force of political philosophy. ‘Everyone who cares about freedom should read this book’ ANNE APPLEBAUM ‘Passionate, intimate, compelling – a clarion call’ PHILIPPE SANDS",Note non disponible,2024-09-19,Philosophy
The Anxious Generation,Jonathan Haidt,"THE INSTANT #1 NEW YORK TIMES BESTSELLER From New York Times bestselling coauthor of The Coddling of the American Mind, an essential investigation into the collapse of youth mental health—and a plan for a healthier, freer childhood. “Erudite, engaging, combative, crusading.” —New York Times Book Review “Words that chill the parental heart… thanks to Mr. Haidt, we can glimpse the true horror of what happened not only in the U.S. but also elsewhere in the English-speaking world… lucid, memorable… galvanizing.” —Wall Street Journal ""[An] important new book...The shift in kids’ energy and attention from the physical world to the virtual one, Haidt shows, has been catastrophic, especially for girls."" —Michelle Goldberg, The New York Times After more than a decade of stability or improvement, the mental health of adolescents plunged in the early 2010s. Rates of depression, anxiety, self-harm, and suicide rose sharply, more than doubling on many measures. Why? In The Anxious Generation, social psychologist Jonathan Haidt lays out the facts about the epidemic of teen mental illness that hit many countries at the same time. He then investigates the nature of childhood, including why children need play and independent exploration to mature into competent, thriving adults. Haidt shows how the “play-based childhood” began to decline in the 1980s, and how it was finally wiped out by the arrival of the “phone-based childhood” in the early 2010s. He presents more than a dozen mechanisms by which this “great rewiring of childhood” has interfered with children’s social and neurological development, covering everything from sleep deprivation to attention fragmentation, addiction, loneliness, social contagion, social comparison, and perfectionism. He explains why social media damages girls more than boys and why boys have been withdrawing from the real world into the virtual world, with disastrous consequences for themselves, their families, and their societies. Most important, Haidt issues a clear call to action. He diagnoses the “collective action problems” that trap us, and then proposes four simple rules that might set us free. He describes steps that parents, teachers, schools, tech companies, and governments can take to end the epidemic of mental illness and restore a more humane childhood. Haidt has spent his career speaking truth backed by data in the most difficult landscapes—communities polarized by politics and religion, campuses battling culture wars, and now the public health emergency faced by Gen Z. We cannot afford to ignore his findings about protecting our children—and ourselves—from the psychological damage of a phone-based life.",Note non disponible,2024-03-26,Psychology
Nexus,Yuval Noah Harari,"Les histoires nous ont réunis. Les livres ont diffusé nos idées et nos mythologies. Internet nous a promis le savoir infini. Les algorithmes ont découvert nos secrets - et nous ont divisés. Quel monde nous promet l’IA ? Depuis cent mille ans, nous, les Sapiens, avons acquis un gigantesque pouvoir. Mais malgré nos découvertes, inventions et conquêtes, nous sommes aujourd’hui confrontés à une crise existentielle inédite. Le monde est au bord de l’effondrement écologique. Les tensions politiques se multiplient. La désinformation abonde. Et nous entrons de plain-pied dans l’ère de l’IA, un réseau d’information qui sera bientôt capable de nous dominer. Avec ce nouvel ouvrage, Yuval Noah Harari, l’auteur du best-seller mondial Sapiens, revisite l’histoire de l’humanité pour comprendre comment les réseaux d’information ont fait et défait notre monde. Il aborde les choix cruciaux auxquels nous sommes - et serons - confrontés, au moment où l’IA révolutionne la médecine, la guerre, les démocraties, et menace notre existence même. Nexus est un livre capital pour comprendre comment, en faisant des choix éclairés, il nous est encore possible d’empêcher le pire.",Note non disponible,2024-09-25,History
Want,Auteur non disponible,"A collection of women's sexual fantasies from women around the world, Want is a revelatory, sensational and game-changing exploration of women's sexuality that asks, and answers: How do women feel about sex when they have the freedom to be totally anonymous? What do you want when no one is watching? Who do you fantasize about when the lights are off? When you think about sex, what do you really want? When we talk about sex, we talk about womanhood and motherhood, infidelity and exploitation, consent and respect, fairness and egalitarianism, love and hate, pleasure and pain. And yet so many of us don't talk about it at all. In this groundbreaking book, Gillian Anderson collects and introduces the anonymous sexual fantasies of hundreds of women from around the world (along with her own anonymous fantasy). The fantasies are extraordinary: they are full of desire, fear, intimacy, shame, satisfaction and, ultimately, liberation. From fantasising about someone off-limits to conjuring a scene with multiple partners, from sex that is gentle and tender to passionate and playful, from women who have never had sex to women who have had more sex than they can remember, these letters provide a window into the most secret part of our minds. Want reveals how women feel about sex when they have the freedom to be totally themselves.",Note non disponible,2024-09-17,Social Science
Blind Spots,"Marty Makary, M.D.","From Johns Hopkins medical expert Dr. Marty Makary, the New York Times-bestselling author of The Price We Pay-an eye-opening look at the medical groupthink that has led to public harm, and what you need to know about your health.",Note non disponible,2024-09-17,Health & Fitness
Lovely One,Ketanji Brown Jackson,"In her inspiring, intimate memoir, the first Black woman to ever be appointed to the Supreme Court of the United States chronicles her extraordinary life story. With this unflinching account, Justice Ketanji Brown Jackson invites readers into her life and world, tracing her family’s ascent from segregation to her confirmation on America’s highest court within the span of one generation. Named “Ketanji Onyika,” meaning “Lovely One,” based on a suggestion from her aunt, a Peace Corps worker stationed in West Africa, Justice Jackson learned from her educator parents to take pride in her heritage since birth. She describes her resolve as a young girl to honor this legacy and realize her dreams: from hearing stories of her grandparents and parents breaking barriers in the segregated South, to honing her voice in high school as an oratory champion and student body president, to graduating magna cum laude from Harvard, where she performed in musical theater and improv and participated in pivotal student organizations. Here, Justice Jackson pulls back the curtain, marrying the public record of her life with what is less known. She reveals what it takes to advance in the legal profession when most people in power don’t look like you, and to reconcile a demanding career with the joys and sacrifices of marriage and motherhood. Through trials and triumphs, Justice Jackson’s journey will resonate with dreamers everywhere, especially those who nourish outsized ambitions and refuse to be turned aside. This moving, openhearted tale will spread hope for a more just world, for generations to come.",Note non disponible,2024-09-03,Biography & Autobiography
Who Could Ever Love You,"Mary L. Trump, PhD","A New York Times Nonfiction Book to Read this Fall A People Magazine Best Book of September The Week Five Riveting Books to Take You Through September Who Could Ever Love You is an intimate, heartbreaking memoir of a father, a mother, and a family’s exile. Mary Trump grew up in a family divided by its patriarch’s relentless drive for money and power. The daughter of Freddy Trump, the highly accomplished, dashing eldest son of wealthy real estate developer Fred Trump, and Linda Clapp, a flight attendant from a working-class family, Mary lived in the shadow of Freddy’s humiliation at the hands of his father. Fred Trump embodied the ethos of the zero-sum game and among his five children, there could only be one winner. That was supposed to be Freddy, his namesake, but Fred found him wanting—too sensitive, too kind, too interested in pursuits beyond the realm of the real estate empire he was meant to inherit. In Donald, Fred found a kindred spirit, a “killer,” who would stop at nothing to get his own way. Even after Freddy’s short-lived career as a professional pilot for TWA came to an end, he never stopped trying to gain his father’s approval. Finally, at the age of forty-two, he succumbed to Fred’s lethal contempt and died alone in an emergency room, with no family by his side. In WHO COULD EVER LOVE YOU, Mary Trump brings us inside the twisted family whose patriarch ignored, froze out, and eventually destroyed his own. Freddy Trump’s decline into alcoholism and illness, along with Linda’s suffering after their divorce, left Mary dangerously vulnerable as a very young girl. Inadequately and only conditionally loved, there were no adults in her life except for the father she loved, but lost before she could know him; and a mother abandoned by her ex-husband’s rich and powerful family who demanded her loyalty but left her with nothing. With searching insight, poignant detail, and unsparing prose, Mary Trump reveals the cold, selfish cruelty that has come to define the Trump family thanks in large part to her uncle, whose malignant ambition has riven our nation and threatens the world.",Note non disponible,2024-09-10,Biography & Autobiography
A Return to Common Sense,Leigh McGowan,"A political book for non-political people from viral TikTok sensation PoliticsGirl. Something’s gone wrong in the Land of the Free and the Home of the Brave. We can all feel it, but if we’re being honest, most of us don’t understand it. At the end of the day, we don’t have all the facts, and if you don’t know how something works, how do you fix it? A Return to Common Sense is a concise, no-nonsense, dare we say fun, guide to how America works and a roadmap to reclaiming a government of, by, and for the people. If we truly want to be a land of freedom and opportunity where everyone has a shot at a good life, we must acknowledge the ideals of America are in danger, but worth saving. We fought a revolutionary war for the idea of self-governance and pursuit of happiness—we can’t just give up on it now. To address the crisis, Leigh McGowan offers Six American Principles. Six ideals, rooted in history, that we can all agree make America, America. 1. America is a land of freedom. 2. Everyone should have the opportunity to rise. 3. Every citizen should have a vote, and that vote should count. 4. Representatives should represent the people who elected them. 5. The law applies to all of us. 6. Government should be a force for good. Using the Six Principles as guideposts, this book will lay out suggestions for America, to not only find its way out of the mess it’s currently in, but to set a course for a future of which we can all be truly proud. It’s time to find the courage to step out of our comfort zones and off our team benches to reboot America. If we start here, we start strong. We can fix this, but the way forward starts with understanding.",Note non disponible,2024-09-17,Political Science
The Butcher Game,Alaina Urquhart,"From the New York Times bestselling author and cohost of chart-topping true crime podcast Morbid comes the thrilling book two in her national bestselling series, told from the dueling perspectives of a notorious serial killer and a medical examiner seeking justice. Destruction follows the ruthless serial killer, Jeremy Rose, the Bayou Butcher, as he heads north to evade capture for his horrific crimes. As he seeks safe harbor with a former friend, he remains focused on unfinished business with forensic pathologist Dr. Wren Muller, the only target who's ever escaped him--twice. But not this time. He's determined to make Wren suffer, and he's promised to make her play by his own twisted rules. Still in shock over the harrowing encounter with her old nemesis, Wren is on forced medical leave in New Orleans, attempting to mend the deep scars of her traumatic past. But with growing evidence that Jeremy is leaving a fresh trail of mutilated victims across Massachusetts, Wren realizes the best way to heal is to renew her pursuit of this vicious killer. She sets her sights on Jeremy, only to discover that she may have walked directly into his trap. As their twisted cat-and-mouse game rachets up to a violent clash of good versus evil, Wren prepares to sacrifice everything to bring Jeremy to justice. With intense true-to-life details from autopsy technician and Morbid podcast cohost, Alaina Urquhart, The Butcher Game is a gripping addition to the New York Times bestselling Dr. Wren Muller series.",Note non disponible,2024-09-17,Fiction
We Solve Murders,Richard Osman,"FROM THE #1 BESTSELLING AUTHOR OF THE THURSDAY MURDER CLUB A brand new series. An iconic new detective team. And a thrilling new murder to solve . . . ----- Steve Wheeler is enjoying retired life. He does the odd bit of investigation work, but he prefers his familiar habits and routines: the pub quiz, his favourite bench, his cat waiting for him when he comes home. His days of adventure are over: adrenaline is daughter-in-law Amy’s business now. Amy Wheeler thinks adrenaline is good for the soul. As a private security officer, she doesn’t stay still long enough for habits or routines. She’s currently on a remote island keeping world-famous author Rosie D’Antonio alive. Which was meant to be an easy job . . . Then a dead body, a bag of money and a killer with their sights on Amy have her sending an SOS to the only person she trusts. A breakneck race around the world begins, but can Amy and Steve stay one step ahead of a deadly enemy? ----- Available to pre-order now! ----- PRAISE FOR RICHARD OSMAN ‘Brilliantly suspenseful’ JEFFERY DEAVER ‘Deplorably good’ IAN RANKIN ‘Funny, clever, compelling’ HARLAN COBEN ‘I smiled a million times’ MARIAN KEYES ‘Warm, wise and witty’ VAL MCDERMID ‘Osman just gets better’ SHARI LAPENA ‘The rightful king of crime’ i",Note non disponible,2024-09-12,Fiction
