title,authors,description,published_date,categories,goodreads_rating
The Revolutionary: Samuel Adams,Stacy Schiff,"This ""glorious"" revelatory biography from a Pulitzer Prize winner is about the most essential Founding Father (Ron Chernow)—the one who stood behind the change in thinking that produced the American Revolution. Thomas Jefferson asserted that if there was any leader of the Revolution, “Samuel Adams was the man.” With high-minded ideals and bare-knuckle tactics, Adams led what could be called the greatest campaign of civil resistance in American history. Stacy Schiff returns Adams to his seat of glory, introducing us to the shrewd and eloquent man who supplied the moral backbone of the American Revolution. A singular figure at a singular moment, Adams amplified the Boston Massacre. He helped to mastermind the Boston Tea Party. He employed every tool available to rally a town, a colony, and eventually a band of colonies behind him, creating the cause that created a country. For his efforts he became the most wanted man in America: When Paul Revere rode to Lexington in 1775, it was to warn Samuel Adams that he was about to be arrested for treason. In The Revolutionary: Samuel Adams, Schiff brings her masterful skills to Adams’s improbable life, illuminating his transformation from aimless son of a well-off family to tireless, beguiling radical who mobilized the colonies. Arresting, original, and deliriously dramatic, this is a long-overdue chapter in the history of our nation. ONE OF WALL STREET JOURNAL'S 10 BEST BOOKS OF 2022 ONE OF LOS ANGELES TIMES TOP 5 NONFICTION BOOKS OF 2022 ONE OF THE NEW YORK TIMES MOST NOTABLE BOOKS OF 2022 ONE OF BARACK OBAMA'S FAVORITE BOOKS OF 2022 And named one of the BEST BOOKS OF 2022 by The New Yorker, TIME, Oprah Daily, USA Today, New York Magazine, Air Mail, Boston Globe, and more! ""A glorious book that is as entertaining as it is vitally important.” —Ron Chernow ""A beautifully crafted, invaluable biography…Schiff ingeniously connects the past to our present and future, underscoring the lessons of Adams while reclaiming our nation’s self-evident truths at a moment when we seemed to have forgotten them."" —Oprah Daily",2022-10-25,Biography & Autobiography,3.82
And There Was Light,Jon Meacham,"NEW YORK TIMES BESTSELLER • Pulitzer Prize–winning biographer Jon Meacham chronicles the life of Abraham Lincoln, charting how—and why—he confronted secession, threats to democracy, and the tragedy of slavery to expand the possibilities of America. “Meacham has given us the Lincoln for our time.”—Henry Louis Gates, Jr. Winner of the Gilder Lehrman Lincoln Prize • Longlisted for the Biographers International Plutarch Award • One of the Best Books of the Year: The Christian Science Monitor, Kirkus Reviews A president who governed a divided country has much to teach us in a twenty-first-century moment of polarization and political crisis. Hated and hailed, excoriated and revered, Abraham Lincoln was at the pinnacle of American power when implacable secessionists gave no quarter in a clash of visions bound up with money, race, identity, and faith. In him we can see the possibilities of the presidency as well as its limitations. At once familiar and elusive, Lincoln tends to be seen as the greatest of American presidents—a remote icon—or as a politician driven more by calculation than by conviction. This illuminating new portrait gives us a very human Lincoln—an imperfect man whose moral antislavery commitment, essential to the story of justice in America, began as he grew up in an antislavery Baptist community; who insisted that slavery was a moral evil; and who sought, as he put it, to do right as God gave him to see the right. This book tells the story of Lincoln from his birth on the Kentucky frontier in 1809 to his leadership during the Civil War to his tragic assassination in 1865: his rise, his self-education, his loves, his bouts of depression, his political failures, his deepening faith, and his persistent conviction that slavery must end. In a nation shaped by the courage of the enslaved of the era and by the brave witness of Black Americans, Lincoln’s story illustrates the ways and means of politics in a democracy, the roots and durability of racism, and the capacity of conscience to shape events.",2022-10-18,Biography & Autobiography,3.67
What If? 2,Randall Munroe,"AN INSTANT NEW YORK TIMES BESTSELLER! ""The questions throughout What If? 2 are equal parts brilliant, gross, and wonderfully absurd and the answers are thorough, deeply researched, and great fun. . . . Science isn’t easy, but in Munroe’s capable hands, it surely can be fun."" —TIME The #1 New York Times bestselling author of What If? and How To answers more of the weirdest questions you never thought to ask The millions of people around the world who read and loved What If? still have questions, and those questions are getting stranger. Thank goodness xkcd creator Randall Munroe is here to help. Planning to ride a fire pole from the Moon back to Earth? The hardest part is sticking the landing. Hoping to cool the atmosphere by opening everyone’s freezer door at the same time? Maybe it’s time for a brief introduction to thermodynamics. Want to know what would happen if you rode a helicopter blade, built a billion-story building, made a lava lamp out of lava, or jumped on a geyser as it erupted? Okay, if you insist. Before you go on a cosmic road trip, feed the residents of New York City to a T. rex, or fill every church with bananas, be sure to consult this practical guide for impractical ideas. Unfazed by absurdity, Munroe consults the latest research on everything from swing-set physics to airliner catapult–design to answer his readers’ questions, clearly and concisely, with illuminating and occasionally terrifying illustrations. As he consistently demonstrates, you can learn a lot from examining how the world might work in very specific extreme circumstances.",2022-09-13,Humor,3.76
The Philosophy of Modern Song,Bob Dylan,"The Philosophy of Modern Song is Bob Dylan’s first book of new writing since 2004’s Chronicles: Volume One — and since winning the Nobel Prize for Literature in 2016. Dylan, who began working on the book in 2010, offers his extraordinary insight into the nature of popular music. He writes over 60 essays focusing on songs by other artists, spanning from Stephen Foster to Elvis Costello, and in between ranging from Hank Williams to Nina Simone. He analyses what he calls the trap of easy rhymes, breaks down how the addition of a single syllable can diminish a song and even explains how bluegrass relates to heavy metal. These essays are written in Dylan’s unique prose. They are mysterious and mercurial, poignant and profound, and often laugh-out-loud funny. And while they are ostensibly about music, they are really meditations and reflections on the human condition. Running throughout the book are nearly 150 carefully curated photos as well as a series of dream-like riffs that, taken together, resemble an epic poem and add to the work’s transcendence. In 2020, with the release of his outstanding album Rough and Rowdy Ways, Dylan became the first artist to have an album hit the Billboard Top 40 in each decade since the 1960s. The Philosophy of Modern Song contains much of what he has learned about his craft in all those years and, like everything that Dylan does, it is a momentous artistic achievement.",2022-11-01,Biography & Autobiography,3.00
The Song of the Cell,Siddhartha Mukherjee,"**A NEW YORK TIMES, DAILY TELEGRAPH, ECONOMIST, MAIL ON SUNDAY and GUARDIAN BOOK OF THE YEAR** From the dawn of life itself, every being that has ever lived owes its existence to the cell. 'Will leave you in awe' Guardian The discovery of this vital form led to a transformation in medicine but also in our understanding of ourselves - not as bodies or machines but as ecosystems. It has also given us the power to treat a vast array of mortal maladies...and even to create new kinds of human altogether. Rich with stories of scientists, doctors and the patients whose lives may be saved by their work, The Song of the Cell is a stunning ode to the building blocks of life and the cutting-edge science harnessing their power for the better. 'Profound...As big a topic as life itself' The Times 'Medical magic' Daily Telegraph 'Vast...important...optimistic' Mail on Sunday",2022-11-03,Science,3.72
Radio's Greatest of All Time,Rush Limbaugh,"#1 NEW YORK TIMES BESTSELLER A collection of Rush Limbaugh’s greatest on-air moments, with special commentary and personal stories from his beloved widow, Kathryn Limbaugh, and brother, David Limbaugh. For more than thirty years, millions of listeners tuned in to hear Rush Limbaugh’s voice. At its peak, The Rush Limbaugh Show aired on more than 650 radio stations nationwide, and his inimitable commentary and distinctive sense of humor garnered a devoted audience that celebrated with him when he received the Presidential Medal of Freedom in 2020. Rush’s passing the following year sent shock waves through the conservative and broadcasting communities. In this timeless collection of his best work, his triumphant legacy as the greatest voice for conservatism is cemented in history. When Rush’s dear friend Vince Flynn first suggested the idea of this book, Rush considered the task daunting. “How can I possibly select the best of the best,” he joked, “from all the years of pure genius?” Over time, Rush came to love this project immensely, and recalled incredible details from his childhood and early career. Featuring commentary from loved ones, family, friends, and prominent figures such as President Donald Trump, Supreme Court Justice Clarence Thomas, Governor Ron DeSantis, and more, Radio’s Greatest of All Time is the ultimate gift for any devoted listener and leaves no doubt about his profound impact on this country.",2022-10-25,Political Science,3.87
An Immense World,Ed Yong,"**Winner of the 2023 Royal Society Trivedi Science Book Prize** Discover the world as you've never seen it before - through the eyes of animals. 'Immersive and mind-blowing' Peter Wohlleben, author of The Hidden Life of Trees The Earth teems with sights and textures, sounds and vibrations, smells and tastes, electric and magnetic fields. But every animal is enclosed within its own unique sensory bubble, perceiving only a tiny sliver of this world. In An Immense World, Ed Yong coaxes us beyond the confines of our own senses, welcoming us into previously unfathomable dimensions - the world as it is truly perceived by other animals. Showing us that in order to understand our world we don't need to travel to other places; we need to see through other eyes. The perfect Christmas gift for nature lovers. A NEW YORK TIMES, GUARDIAN, ECONOMIST, SPECTATOR, TIMES LITERARY SUPPLEMENT and NEW STATESMAN BOOK OF THE YEAR **Winner of 2023 Carnegie Medal for Excellence in Nonfiction** 'Suffused with magic' Siddhartha Mukherjee, author of The Song of the Cell 'A book that prompts awe at the world around us' Sunday Times",2022-06-30,Science,5.00
A Book of Days,Patti Smith,"NEW YORK TIMES BESTSELLER • A deeply moving and brilliantly idiosyncratic visual book of days by the National Book Award–winning author of Just Kids and M Train, featuring more than 365 images and reflections that chart Smith’s singular aesthetic—inspired by her wildly popular Instagram. ONE OF THE BEST BOOKS OF THE YEAR: Variety, Pitchfork, PopSugar In 2018, without any plan or agenda for what might happen next, Patti Smith posted her first Instagram photo: her hand with the simple message “Hello Everybody!” Known for shooting with her beloved Land Camera 250, Smith started posting images from her phone including portraits of her kids, her radiator, her boots, and her Abyssinian cat, Cairo. Followers felt an immediate affinity with these miniature windows into Smith’s world, photographs of her daily coffee, the books she’s reading, the graves of beloved heroes—William Blake, Dylan Thomas, Sylvia Plath, Simone Weil, Albert Camus. Over time, a coherent story of a life devoted to art took shape, and more than a million followers responded to Smith’s unique aesthetic in images that chart her passions, devotions, obsessions, and whims. Original to this book are vintage photographs: anniversary pearls, a mother’s keychain, and a husband’s Mosrite guitar. Here, too, are photos from Smith’s archives of life on and off the road, train stations, obscure cafés, a notebook always nearby. In wide-ranging yet intimate daily notations, Smith shares dispatches from her travels around the world. With over 365 photographs taking you through a single year, A Book of Days is a new way to experience the expansive mind of the visionary poet, writer, and performer. Hopeful, elegiac, playful—and complete with an introduction by Smith that explores her documentary process—A Book of Days is a timeless offering for deeply uncertain times, an inspirational map of an artist’s life.",2022-11-15,Literary Collections,4.00
The Boys from Biloxi,John Grisham,"#1 NEW YORK TIMES BESTSELLER • Two families. One courtroom showdown. • John Grisham’s most gripping thriller yet. • “A legal literary legend.” —USA Today John Grisham returns to Mississippi with the riveting story of two sons of immigrant families who grow up as friends, but ultimately find themselves on opposite sides of the law. Grisham’s trademark twists and turns will keep you tearing through the pages until the stunning conclusion. For most of the last hundred years, Biloxi was known for its beaches, resorts, and seafood industry. But it had a darker side. It was also notorious for corruption and vice, everything from gambling, prostitution, bootleg liquor, and drugs to contract killings. The vice was controlled by small cabal of mobsters, many of them rumored to be members of the Dixie Mafia. Keith Rudy and Hugh Malco grew up in Biloxi in the sixties and were childhood friends, as well as Little League all-stars. But as teenagers, their lives took them in different directions. Keith’s father became a legendary prosecutor, determined to “clean up the Coast.” Hugh’s father became the “Boss” of Biloxi’s criminal underground. Keith went to law school and followed in his father’s footsteps. Hugh preferred the nightlife and worked in his father’s clubs. The two families were headed for a showdown, one that would happen in a courtroom. Life itself hangs in the balance in The Boys from Biloxi, a sweeping saga rich with history and with a large cast of unforgettable characters. Don’t miss John Grisham’s new book, THE EXCHANGE: AFTER THE FIRM!",2022-10-18,Fiction,3.82
Dreamland,Nicholas Sparks,"From the #1 New York Times bestselling author of The Wish comes a poignant love story about risking everything for a dream - and whether it's possible to leave the past behind. Fate drew them together . . . but will their dreams tear them apart? Colby Mills once felt destined for a musical career, but tragedy grounded his dreams. Now the dust has settled, he spontaneously takes a gig playing at a bar in Florida, seeking a rare break from his duties at home. But when he meets Morgan Lee, his world is turned upside-down, and Colby can't help but wonder if the responsibilities he has shouldered need dictate his life forever. Morgan is on her way to Nashville with plans to become a star and she wants Colby to come with her. While they are falling headlong in love, Beverly is on a heart-pounding journey of another kind. Fleeing an abusive husband with her six-year-old son, she is trying to piece together a new life in a small town far off the beaten track. Danger is never far and her money is fast running out. In the course of a single unforgettable week, three very different people will have their own ideas of love put to the test. As fate draws them together, they will each be forced to question whether the dream of a better life can ever overcome the weight of the past. Praise for Nicholas Sparks: 'This one won't leave a dry eye' Daily Mirror 'A fiercely romantic and touching tale' Heat 'An A-grade romantic read' OK! 'Pulls at the heartstrings' Sunday Times 'An absorbing page-turner' Daily Mail",2022-09-20,Fiction,4.50
Triple Cross,James Patterson,"SOON TO BE AN ORIGINAL AMAZON PRIME SERIES 'ALEX CROSS IS A LEGEND' HARLAN COBEN ________________________ Alex Cross faces his toughest case yet in the explosive new thriller from multi-million copy bestseller James Patterson A killer strikes under cover of darkness, triggers no alarms, and leaves no evidence behind. Detective Alex Cross is on the hunt of a killer who is targeting entire families around Washington, DC. But Cross isn't the only one investigating - a charismatic true-crime author has spotted patterns in the case of 'The Family Man' killer that others have missed. It's up to Cross to determine whether the writer's theories are fact or fiction - before another family falls victim. ________________________ Readers are loving Triple Cross... 'Another 5 star read' 'Non-stop action from beginning to end' 'A complete page turner and can-not-put-down book' 'James Patterson just gets better and better. A fast-paced thrilling read' 'This is vintage Patterson and vintage Alex Cross' _________________________________________ PRAISE FOR THE ALEX CROSS THRILLERS 'Alex Cross. . . only gets better and better' LISA SCOTTOLINE 'No one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it' LEE CHILD 'A character for the ages' DOUGLAS PRESTON & LINCOLN CHILD ________________________________________ PRAISE FOR JAMES PATTERSON 'James Patterson is the gold standard by which all others are judged.' Steve Berry 'James Patterson is The Boss. End of.' Ian Rankin 'Nobody does it better.' Jeffery Deaver",2022-10-27,Fiction,4.39
Mad Honey,"Jodi Picoult, Jennifer Finney Boylan","NEW YORK TIMES BESTSELLER • “Alternatingly heart-pounding and heartbreaking. This collaboration between two best-selling authors seamlessly weaves together Olivia and Lily’s journeys, creating a provocative exploration of the strength that love and acceptance require.”—The Washington Post Look for Jodi Picoult’s new novel, By Any Other Name, available now! GOOD MORNING AMERICA BOOK CLUB PICK • PEOPLE’S BOOK OF THE WEEK • A POPSUGAR BEST BOOKS OF THE YEAR Olivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising their beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined that she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in and taking over her father’s beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start. And for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet she wonders if she can trust him completely. . . . Then one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in Ash, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her. Mad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves.",2022-10-04,Fiction,3.69
A World of Curiosities,Louise Penny,"INSTANT #1 NEW YORK TIMES BESTSELLER Chief Inspector Armand Gamache returns in the eighteenth book in #1 New York Times bestseller Louise Penny's beloved series. It’s spring and Three Pines is reemerging after the harsh winter. But not everything buried should come alive again. Not everything lying dormant should reemerge. But something has. As the villagers prepare for a special celebration, Armand Gamache and Jean-Guy Beauvoir find themselves increasingly worried. A young man and woman have reappeared in the Sûreté du Québec investigators’ lives after many years. The two were young children when their troubled mother was murdered, leaving them damaged, shattered. Now they’ve arrived in the village of Three Pines. But to what end? Gamache and Beauvoir’s memories of that tragic case, the one that first brought them together, come rushing back. Did their mother’s murder hurt them beyond repair? Have those terrible wounds, buried for decades, festered and are now about to erupt? As Chief Inspector Gamache works to uncover answers, his alarm grows when a letter written by a long dead stone mason is discovered. In it the man describes his terror when bricking up an attic room somewhere in the village. Every word of the 160-year-old letter is filled with dread. When the room is found, the villagers decide to open it up. As the bricks are removed, Gamache, Beauvoir and the villagers discover a world of curiosities. But the head of homicide soon realizes there’s more in that room than meets the eye. There are puzzles within puzzles, and hidden messages warning of mayhem and revenge. In unsealing that room, an old enemy is released into their world. Into their lives. And into the very heart of Armand Gamache’s home.",2022-11-29,Fiction,4.00
Tom Clancy Red Winter,Marc Cameron,"In this previously untold adventure, a young Jack Ryan goes behind the Iron Curtain to seek the truth about a potential Soviet defector in the most shocking entry in Tom Clancy's #1 New York Times bestselling series. 1985 A top secret F117 aircraft crashes into the Nevada desert. The Nighthawk is the most advanced fighting machine in the world and the Soviets will do anything to get their hands on its secrets. In East Berlin, a mysterious figure contacts the CIA with an incredible offer—invaluable details of his government’s espionage plans in return for asylum. It’s an offer they can’t pass up…if it’s genuine, but the risks are too great to blindly stumble into a deal. With the East German secret police closing in, someone will have to go to behind the Berlin Wall to investigate the potential defector. It’s a job Deputy Director James Greer can only trust to one man--Jack Ryan. Ryan is a former Marine and a brilliant CIA analyst who’s been the architect of some of the CIA’s biggest coups but this time he’s in enemy territory with a professional assassin on his tail. Can he get the right answers before the Cold War turns into a Red Winter?",2022-12-06,Fiction,3.67
Desert Star,Michael Connelly,"THE WORLDWIDE #1 BESTSELLER BEHIND AMAZON PRIME'S BOSCH AND NETFLIX'S THE LINCOLN LAWYER SOME CRIMES YOU CAN'T FORGET. Detective Renée Ballard is given the chance of a lifetime: revive the LAPD's cold case unit and find justice for the families of the forgotten. The only catch is they must first crack the unsolved murder of the sister of the city councilman who is sponsoring the department - or lose everything... OTHERS YOU CAN'T FORGIVE. Harry Bosch is top of the list of investigators Ballard wants to recruit. The former homicide detective is a living legend - but for how long? Because Bosch has his own agenda: a crime that has haunted him for years - the murder of a whole family, buried out in the desert - which he vowed to close. WHAT WOULD YOU DO IF YOU KNEW WHO DID IT? With the killer still out there and evidence elusive - Bosch is on a collision course with a choice he hoped never to make... * * * * * CRIME DOESN'T COME BETTER THAN CONNELLY: 'The pre-eminent detective novelist of his generation' IAN RANKIN 'The best mystery writer in the world' GQ 'One of the greatest crime writers' DAILY MAIL 'A superb natural storyteller' LEE CHILD 'A master' STEPHEN KING 'A genius' INDEPENDENT ON SUNDAY 'Crime thriller writing of the highest order' GUARDIAN 'A terrific writer with pace, style and humanity to spare' THE TIMES 'America's greatest living crime writer' DAILY EXPRESS 'One of the great storytellers of crime fiction' SUNDAY TELEGRAPH",2022-11-08,Fiction,4.50
