Humans,Brandon Stanton,"'One of the most influential art projects of the decade' – Washington Post From street photographer Brandon Stanton, Humans is a book that connects readers as global citizens at a time when erecting more borders is the order of the day. It shows us the entire world, one story at a time . . . After five years of traveling the globe, the creator of Humans of New York brings people from all parts of the world into a conversation with readers, presenting beautiful photographs alongside stories from their lives. Ignoring borders, this book chronicles lives and shows us the faces of the world. From London, Paris and Rome to Iraq, Dubai, Ukraine, Pakistan, Jordan, Uganda, Vietnam, Israel and every other place in between, these interviews go deeper than ever before. Including hundreds of photos and stories of people Brandon met and talked with in over forty countries, Humans is a full colour illustrated book that includes never seen before material and several of Stanton's essays, which – like his photography – have been loved and shared by his followers worldwide.",2020-10-06,Photography,4.55
Bag Man,"Rachel Maddow, Michael Yarvitz","NEW YORK TIMES BESTSELLER • The knockdown, drag-out, untold story of the other scandal that rocked Nixon’s White House, and reset the rules for crooked presidents to come—with new reporting that expands on Rachel Maddow’s Peabody Award–nominated podcast “Both a thriller and a history book, Bag Man is a triumph of storytelling.”—Preet Bharara, New York Times bestselling author of Doing Justice and host of the podcast Stay Tuned with Preet Is it possible for a sitting vice president to direct a vast criminal enterprise within the halls of the White House? To have one of the most brazen corruption scandals in American history play out while nobody’s paying attention? And for that scandal to be all but forgotten decades later? The year was 1973, and Spiro T. Agnew, the former governor of Maryland, was Richard Nixon’s second-in-command. Long on firebrand rhetoric and short on political experience, Agnew had carried out a bribery and extortion ring in office for years, when—at the height of Watergate—three young federal prosecutors discovered his crimes and launched a mission to take him down before it was too late, before Nixon’s impending downfall elevated Agnew to the presidency. The self-described “counterpuncher” vice president did everything he could to bury their investigation: dismissing it as a “witch hunt,” riling up his partisan base, making the press the enemy, and, with a crumbling circle of loyalists, scheming to obstruct justice in order to survive. In this blockbuster account, Rachel Maddow and Michael Yarvitz detail the investigation that exposed Agnew’s crimes, the attempts at a cover-up—which involved future president George H. W. Bush—and the backroom bargain that forced Agnew’s resignation but also spared him years in federal prison. Based on the award-winning hit podcast, Bag Man expands and deepens the story of Spiro Agnew’s scandal and its lasting influence on our politics, our media, and our understanding of what it takes to confront a criminal in the White House.",2020-12-08,Political Science,4.50
Caste,Isabel Wilkerson,"#1 NEW YORK TIMES BESTSELLER • OPRAH’S BOOK CLUB PICK • “An instant American classic and almost certainly the keynote nonfiction book of the American century thus far.”—Dwight Garner, The New York Times The Pulitzer Prize–winning, bestselling author of The Warmth of Other Suns examines the unspoken caste system that has shaped America and shows how our lives today are still defined by a hierarchy of human divisions. #1 NONFICTION BOOK OF THE YEAR: Time ONE OF THE BEST BOOKS OF THE YEAR: The Washington Post, The New York Times, Los Angeles Times, The Boston Globe, O: The Oprah Magazine, NPR, Bloomberg, The Christian Science Monitor, New York Post, The New York Public Library, Fortune, Smithsonian Magazine, Marie Claire, Slate, Library Journal, Kirkus Reviews Winner of the Carl Sandberg Literary Award • Winner of the Los Angeles Times Book Prize • National Book Award Longlist • National Book Critics Circle Award Finalist • Dayton Literary Peace Prize Finalist • PEN/John Kenneth Galbraith Award for Nonfiction Finalist • PEN/Jean Stein Book Award Longlist • Kirkus Prize Finalist “As we go about our daily lives, caste is the wordless usher in a darkened theater, flashlight cast down in the aisles, guiding us to our assigned seats for a performance. The hierarchy of caste is not about feelings or morality. It is about power—which groups have it and which do not.” In this brilliant book, Isabel Wilkerson gives us a masterful portrait of an unseen phenomenon in America as she explores, through an immersive, deeply researched, and beautifully written narrative and stories about real people, how America today and throughout its history has been shaped by a hidden caste system, a rigid hierarchy of human rankings. Beyond race, class, or other factors, there is a powerful caste system that influences people’s lives and behavior and the nation’s fate. Linking the caste systems of America, India, and Nazi Germany, Wilkerson explores eight pillars that underlie caste systems across civilizations, including divine will, bloodlines, stigma, and more. Using riveting stories about people—including Martin Luther King, Jr., baseball’s Satchel Paige, a single father and his toddler son, Wilkerson herself, and many others—she shows the ways that the insidious undertow of caste is experienced every day. She documents how the Nazis studied the racial systems in America to plan their outcasting of the Jews; she discusses why the cruel logic of caste requires that there be a bottom rung for those in the middle to measure themselves against; she writes about the surprising health costs of caste, in depression and life expectancy, and the effects of this hierarchy on our culture and politics. Finally, she points forward to ways America can move beyond the artificial and destructive separations of human divisions, toward hope in our common humanity. Original and revealing, Caste: The Origins of Our Discontents is an eye-opening story of people and history, and a reexamination of what lies under the surface of ordinary lives and of American life today.",2020-08-04,Social Science,4.14
Untamed,Glennon Doyle,"'This book will shake your brain and make your soul scream. I am so ready for myself after reading this book!' Adele 'Untamed will liberate women - emotionally, spiritually, and physically. It is phenomenal.' Elizabeth Gilbert, author of City of Girls and Eat Pray Love Who were you before the world told you who to be? Part inspiration, part memoir, Untamed explores the joy and peace we discover when we stop striving to meet the expectations of the world, and instead dare to listen to and trust in the voice deep inside us. From the beloved New York Times bestselling author, speaker and activist Glennon Doyle. ***** For many years, Glennon Doyle denied her discontent. Then, while speaking at a conference, she looked at a woman across the room and fell instantly in love. Three words flooded her mind: There. She. Is. At first, Glennon assumed these words came to her from on high but soon she realised they had come to her from within. This was the voice she had buried beneath decades of numbing addictions and social conditioning. Glennon decided to let go of the world's expectations of her and reclaim her true untamed self. Soulful and uproarious, forceful and tender, Untamed is both an intimate memoir and a galvanising wake-up call. It is the story of how one woman learned that a responsible mother is not one who slowly dies for her children, but one who shows them how to fully live. It is also the story of how each of us can begin to trust ourselves enough to set boundaries, make peace with our bodies, honour our anger and heartbreak, and unleash our truest, wildest instincts. Untamed shows us how to be brave. And, as Glennon insists, 'The braver we are, the luckier we get.'",2020-03-12,Biography & Autobiography,3.68
The Last Days of John Lennon,James Patterson,"___________ 'Incredibly tense and thriller-like . . . I totally recommend it' LEE CHILD 'The dialogue is punchy, cinematic . . . we get inside the mind of Patterson's villain, the delusional Chapman, through periodic chapters from his point of view as he works up the courage to pull the trigger on Lennon' GQ 'Pure Patterson: fast-paced, no-frills' SUNDAY TIMES ___________ The greatest true-crime story in music history. A GLOBAL SUPERSTAR In the summer of 1980, ten years after the break-up of the Beatles, John Lennon signed with a new label, ready to record new music for the first time in years. Everyone was awestruck when Lennon dashed off '(Just Like) Starting Over'. Lennon was back in peak form, with his best songwriting since 'Imagine'. A DANGEROUSLY OBSESSED FAN In the years after Lennon left the Beatles, becoming a solo artist and making a life with Yoko Ono in New York City, Mark David Chapman had become fixated on murdering his former hero. He was convinced that Lennon had squandered his talent and betrayed his fans. In December 1980, Chapman boarded a flight from Hawaii to New York with a handgun stowed in his luggage. He was never going home again. A MURDER THAT STUNNED THE WORLD Enriched by exclusive interviews with Lennon's friends and associates, including Paul McCartney, The Last Days of John Lennon is a true-crime drama about two men who changed history. One whose indelible songs enliven our world to this day, and the other who ended the music with five pulls of a trigger.",2020-12-07,True Crime,3.33
The Splendid and the Vile,Erik Larson,"#1 NEW YORK TIMES BESTSELLER • The author of The Devil in the White City and Dead Wake delivers an intimate chronicle of Winston Churchill and London during the Blitz—an inspiring portrait of courage and leadership in a time of unprecedented crisis “One of [Erik Larson’s] best books yet . . . perfectly timed for the moment.”—Time • “A bravura performance by one of America’s greatest storytellers.”—NPR NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review • Time • Vogue • NPR • The Washington Post • Chicago Tribune • The Globe & Mail • Fortune • Bloomberg • New York Post • The New York Public Library • Kirkus Reviews • LibraryReads • PopMatters On Winston Churchill’s first day as prime minister, Adolf Hitler invaded Holland and Belgium. Poland and Czechoslovakia had already fallen, and the Dunkirk evacuation was just two weeks away. For the next twelve months, Hitler would wage a relentless bombing campaign, killing 45,000 Britons. It was up to Churchill to hold his country together and persuade President Franklin Roosevelt that Britain was a worthy ally—and willing to fight to the end. In The Splendid and the Vile, Erik Larson shows, in cinematic detail, how Churchill taught the British people “the art of being fearless.” It is a story of political brinkmanship, but it’s also an intimate domestic drama, set against the backdrop of Churchill’s prime-ministerial country home, Chequers; his wartime retreat, Ditchley, where he and his entourage go when the moon is brightest and the bombing threat is highest; and of course 10 Downing Street in London. Drawing on diaries, original archival documents, and once-secret intelligence reports—some released only recently—Larson provides a new lens on London’s darkest year through the day-to-day experience of Churchill and his family: his wife, Clementine; their youngest daughter, Mary, who chafes against her parents’ wartime protectiveness; their son, Randolph, and his beautiful, unhappy wife, Pamela; Pamela’s illicit lover, a dashing American emissary; and the advisers in Churchill’s “Secret Circle,” to whom he turns in the hardest moments. The Splendid and the Vile takes readers out of today’s political dysfunction and back to a time of true leadership, when, in the face of unrelenting horror, Churchill’s eloquence, courage, and perseverance bound a country, and a family, together.",2020-02-25,History,4.12
Killing Crazy Horse,"Bill O'Reilly, Martin Dugard","The latest installment of the multimillion-selling Killing series is a gripping journey through the American West and the historic clashes between Native Americans and settlers. The bloody Battle of Tippecanoe was only the beginning. It’s 1811 and President James Madison has ordered the destruction of Shawnee warrior chief Tecumseh’s alliance of tribes in the Great Lakes region. But while General William Henry Harrison would win this fight, the armed conflict between Native Americans and the newly formed United States would rage on for decades. Bestselling authors Bill O’Reilly and Martin Dugard venture through the fraught history of our country’s founding on already occupied lands, from General Andrew Jackson’s brutal battles with the Creek Nation to President James Monroe’s epic “sea to shining sea” policy, to President Martin Van Buren’s cruel enforcement of a “treaty” that forced the Cherokee Nation out of their homelands along what would be called the Trail of Tears. O’Reilly and Dugard take readers behind the legends to reveal never-before-told historical moments in the fascinating creation story of America. This fast-paced, wild ride through the American frontier will shock readers and impart unexpected lessons that reverberate to this day.",2020-09-08,History,4.19
The Answer Is . . .,Alex Trebek,"Longtime Jeopardy! host and television icon Alex Trebek reflects on his life and career. When he debuted as the host of Jeopardy! in 1984, Alex Trebek became something like a family member to millions of television viewers, bringing entertainment and education into their homes five nights a week. In 2019, he made the stunning announcement that he had been diagnosed with Stage IV pancreatic cancer. What followed was an incredible outpouring of love and kindness. Social media was flooded with messages of support, and the Jeopardy! studio received boxes of cards and letters offering guidance, encouragement, and prayers. For more than three decades, Trebek had resisted countless appeals to write a book about his life. Yet he was moved so much by all the goodwill, he felt compelled to finally share his story. “I want people to know a little more about the person they have been cheering on for the past year,” he writes. The book combines illuminating personal anecdotes with Trebek’s thoughts on a range of topics, including marriage, parenthood, education, success, spirituality, and philanthropy. Trebek also addresses the questions asked most often by Jeopardy! fans, such as what prompted him to shave his signature mustache, his insights on legendary players like Ken Jennings and James Holzhauer, and his opinion of Will Ferrell’s Saturday Night Live impersonation. The book uses a novel structure inspired by Jeopardy! and features dozens of never-before-seen photos that candidly capture Trebek over the years. This wise, charming, and inspiring book is further evidence of why Trebek has long been considered one of the most beloved and respected figures in entertainment.",2020-07-21,Biography & Autobiography,3.86
A Time for Mercy,John Grisham,"***THE SUNDAY TIMES BESTSELLER*** Jake Brigance, lawyer hero of A Time to Kill and Sycamore Row, is back, in his toughest case ever. 'A new Grisham legal thriller is always an event, but this one is exceptional as the author is returning to Jake Brigance, the hero of his very first book, A Time To Kill . . . There is a lot of Grisham in Brigance - they were both street lawyers on the side of the people, not big corporations. It gives the book an emotional core that burns with a white heat' - Daily Mail 'A master of plotting and pacing . . . suspenseful' - New York Times CAN A KILLER EVER BE ABOVE THE LAW? Deputy Stuart Kofer is a protected man. Though he's turned his drunken rages on his girlfriend, Josie, and her children many times before, the police code of silence has always shielded him. But one night he goes too far, leaving Josie for dead on the floor before passing out. Her son, sixteen-year-old Drew, knows he only has this one chance to save them. He picks up a gun and takes the law into his own hands. In Clanton, Mississippi, there is no one more hated than a cop killer - but a cop killer's defence lawyer comes close. Jake Brigance doesn't want this impossible case but he's the only one with enough experience to defend the boy. As the trial begins, it seems there is only one outcome: the gas chamber for Drew. But, as the town of Clanton discovers once again, when Jake Brigance takes on an impossible case, anything is possible ... Starring the same hero and setting that featured in John Grisham's multi-million-selling bestsellers A Time to Kill (adapted as a film starring Samuel L. Jackson and Matthew McConaughey) and Sycamore Row, A Time for Mercy is an unforgettable thriller you won't be able to put down. 'When Grisham gets in the courtroom he lets rip, drawing scenes so real they're not just alive, they're pulsating' Mirror 'A superb, instinctive storyteller' The Times 'Storytelling genius ... he is in a league of his own' Daily Record 350+ million copies, 45 languages, 10 blockbuster films: NO ONE WRITES DRAMA LIKE JOHN GRISHAM",2020-10-13,Fiction,4.29
The Return,Nicholas Sparks,"A house full of love. A house full of secrets. #1 New York Times bestselling author Nicholas Sparks is back with his best novel yet. * Trevor Benson never intended to return to North Carolina. But here he is, back where it all began. Trevor found himself unable to resist the call home when he inherited a tumbledown cabin from his grandfather. He's come back to live the simple life but nothing here is simple. There's Callie, the sullen local teenager who seems to know more than she should about Trevor's grandfather's death. And there's Natalie, the deputy sheriff intent on making a point and lingering in Trevor's mind long after she's left his porch. In a bid to unravel Natalie and Callie's secrets and to find out what really happened to his grandfather, Trevor is about to learn more than he's bargained for - that sometimes, in order to move forward, we have to return to the place where it all began. Praise for Nicholas Sparks: 'A fiercely romantic and touching tale' Heat 'An A-grade romantic read' OK! 'Pulls at the heartstrings' Sunday Times 'An absorbing page-turner' Daily Mail 'This one won't leave a dry eye' Daily Mirror",2020-09-29,Fiction,4.56
The Vanishing Half,Brit Bennett,"#1 NEW YORK TIMES BESTSELLER ONE OF BARACK OBAMA'S FAVORITE BOOKS OF THE YEAR NAMED A BEST BOOK OF 2020 BY THE NEW YORK TIMES * THE WASHINGTON POST * NPR * PEOPLE * TIME MAGAZINE* VANITY FAIR * GLAMOUR 2021 WOMEN'S PRIZE FINALIST “Bennett’s tone and style recalls James Baldwin and Jacqueline Woodson, but it’s especially reminiscent of Toni Morrison’s 1970 debut novel, The Bluest Eye.” —Kiley Reid, Wall Street Journal “A story of absolute, universal timelessness …For any era, it's an accomplished, affecting novel. For this moment, it's piercing, subtly wending its way toward questions about who we are and who we want to be….” – Entertainment Weekly From The New York Times-bestselling author of The Mothers, a stunning new novel about twin sisters, inseparable as children, who ultimately choose to live in two very different worlds, one black and one white. The Vignes twin sisters will always be identical. But after growing up together in a small, southern black community and running away at age sixteen, it's not just the shape of their daily lives that is different as adults, it's everything: their families, their communities, their racial identities. Many years later, one sister lives with her black daughter in the same southern town she once tried to escape. The other secretly passes for white, and her white husband knows nothing of her past. Still, even separated by so many miles and just as many lies, the fates of the twins remain intertwined. What will happen to the next generation, when their own daughters' storylines intersect? Weaving together multiple strands and generations of this family, from the Deep South to California, from the 1950s to the 1990s, Brit Bennett produces a story that is at once a riveting, emotional family story and a brilliant exploration of the American history of passing. Looking well beyond issues of race, The Vanishing Half considers the lasting influence of the past as it shapes a person's decisions, desires, and expectations, and explores some of the multiple reasons and realms in which people sometimes feel pulled to live as something other than their origins. As with her New York Times-bestselling debut The Mothers, Brit Bennett offers an engrossing page-turner about family and relationships that is immersive and provocative, compassionate and wise.",2020-06-02,Fiction,3.50
